Symbol,Name,결산월,회계년,주기,영업수익(천원),영업비용(천원),영업이익(천원),당기순이익(천원),총자본(천원),유형자산(천원),유동자산(천원),유동부채(천원),당좌자산(천원),현금및현금성자산(천원),단기금융상품(천원),매출채권(천원),재고자산(천원),총자산(천원),매출원가(천원),매출액(천원),판매비와관리비(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원)
A092780,동양피스톤,12,2012,Annual,203033637.0,195346885.0,7686752.0,4004887.0,24941302.0,66759860.0,56555432.0,100498283.0,40895807.0,1133214.0,3922032.0,27291939.0,15659625.0,139915742.0,183148003.0,203033637.0,12198882.0,14476156.0,11960421.0,7007911.0
A092780,동양피스톤,12,2013,Annual,217435011.0,209658692.0,7776320.0,6595644.0,31667094.0,66615042.0,60377828.0,95002060.0,45062016.0,203058.0,4501324.0,32582589.0,15315812.0,146730636.0,194821511.0,217435011.0,14837181.0,20061481.0,6074720.0,8108170.0
A092780,동양피스톤,12,2014,Annual,229052947.0,221544595.0,7508352.0,5032821.0,41671180.0,74739955.0,71113585.0,110207192.0,52829776.0,132338.0,3360000.0,41376743.0,18283809.0,174287693.0,205377764.0,229052947.0,16166832.0,22409322.0,9369789.0,8616673.0
A092780,동양피스톤,12,2015,Annual,256095429.0,243967126.0,12128303.0,8902042.0,49057585.0,73542701.0,69832439.0,115385957.0,49610423.0,946538.0,3463160.0,41267419.0,20222016.0,203970237.0,229470917.0,256095429.0,14496209.0,39526695.0,14990765.0,8374575.0
A092780,동양피스톤,12,2016,Annual,259676794.0,246370116.0,13306678.0,10671440.0,59991942.0,73602703.0,82840151.0,126918121.0,57064708.0,1596840.0,3050000.0,50229658.0,25775443.0,231022456.0,230948029.0,259676794.0,15422087.0,44112394.0,-135194.0,8661018.0
A092780,동양피스톤,12,2017,Annual,242641910.0,228656666.0,13985245.0,7915118.0,89499964.0,73107886.0,95502927.0,119220186.0,61794767.0,10641.0,14540000.0,45640251.0,33708160.0,245472937.0,214902732.0,242641910.0,13753934.0,36752787.0,9382704.0,7921227.0
A092780,동양피스톤,12,2018,Annual,275006857.0,264170927.0,10835931.0,7928762.0,94178526.0,76749907.0,108155479.0,136943114.0,71317318.0,57413.0,13540000.0,54666988.0,36838161.0,261138915.0,247677252.0,275006857.0,16493675.0,30017275.0,10116787.0,6590683.0
A092780,동양피스톤,12,2019,Annual,289321822.0,278261541.0,11060280.0,5111986.0,97124254.0,81113046.0,113817446.0,133361235.0,70552583.0,2614011.0,11414300.0,53569772.0,43264863.0,277849901.0,259887479.0,289321822.0,18374063.0,47364412.0,18375675.0,7742979.0
A092780,동양피스톤,12,2020,Annual,266029253.0,258956192.0,7073061.0,1291667.0,97060816.0,78518378.0,116933476.0,143726604.0,78325566.0,3931841.0,17915000.0,54463099.0,38607911.0,276850892.0,242435448.0,266029253.0,16520743.0,36063472.0,4325532.0,8069740.0
A092780,동양피스톤,12,2021,Annual,294722120.0,288581800.0,6140320.0,2804998.0,104083099.0,77148742.0,122628265.0,127124474.0,76872706.0,1170433.0,23057000.0,51605371.0,45755558.0,287022421.0,270269670.0,294722120.0,18312130.0,55814849.0,16264670.0,7605602.0
A092780,동양피스톤,12,2022,Annual,323352648.0,319073855.0,4278793.0,-2354916.0,106108646.0,76045483.0,137548798.0,129894971.0,88945866.0,7175054.0,29818000.0,48357313.0,48602933.0,284313689.0,296785771.0,323352648.0,22288084.0,48310071.0,11532381.0,7839736.0
A003080,성보화학,12,2011,Annual,41202632.0,39969632.0,1233001.0,1781983.0,85983094.0,39191126.0,43328531.0,9941149.0,18242158.0,9448161.0,3300000.0,3356358.0,25086373.0,100586249.0,30197484.0,41202632.0,9772147.0,4662005.0,3398188.0,1244172.0
A003080,성보화학,12,2012,Annual,45320184.0,42535653.0,2784531.0,2973764.0,87537607.0,38922475.0,45115157.0,9955659.0,16963481.0,7746854.0,5000000.0,3067705.0,28151677.0,101598444.0,32021944.0,45320184.0,10513709.0,4105177.0,2343768.0,1254634.0
A003080,성보화학,12,2013,Annual,49657475.0,45869612.0,3787864.0,3490231.0,88944332.0,38730043.0,46143140.0,9382146.0,15690597.0,11297299.0,0.0,3412636.0,30452543.0,101953108.0,34575250.0,49657475.0,11294362.0,3626631.0,1480208.0,1287472.0
A003080,성보화학,12,2014,Annual,54541843.0,49236629.0,5305214.0,4623838.0,90905203.0,38341307.0,50477434.0,11341658.0,13783548.0,7606714.0,0.0,4717147.0,36693886.0,106396073.0,36602008.0,54541843.0,12634621.0,4149212.0,-662744.0,1175981.0
A003080,성보화학,12,2015,Annual,56047134.0,50595217.0,5451917.0,3265320.0,89679552.0,38062604.0,52750701.0,13996369.0,9600225.0,1822380.0,0.0,6433014.0,43150476.0,107552970.0,37840573.0,56047134.0,12754644.0,3877050.0,-816478.0,1144755.0
A003080,성보화학,12,2016,Annual,58011681.0,56731798.0,1279883.0,75039914.0,160549720.0,24169392.0,136635976.0,28968126.0,90261468.0,61167102.0,19553285.0,6333495.0,46374508.0,194504487.0,43153019.0,58011681.0,13578779.0,4986641.0,-8419506.0,954428.0
A003080,성보화학,12,2017,Annual,58368809.0,61123005.0,-2754196.0,9272915.0,161413597.0,45505364.0,91924055.0,16614789.0,53626813.0,27786347.0,17788216.0,5670097.0,38297243.0,185623186.0,46276046.0,58368809.0,14846959.0,7594800.0,4648901.0,2088050.0
A003080,성보화학,12,2018,Annual,49517681.0,49224488.0,293193.0,6134917.0,153688463.0,41755010.0,102396293.0,14340347.0,61525151.0,30874478.0,25984642.0,2896775.0,40871142.0,183365495.0,36073827.0,49517681.0,13150661.0,15336685.0,8218158.0,3062111.0
A003080,성보화학,12,2019,Annual,41863998.0,46217007.0,-4353009.0,-2868491.0,146628732.0,42076193.0,94100692.0,16565434.0,51436250.0,22696231.0,22858179.0,1202437.0,42664442.0,172441360.0,33396253.0,41863998.0,12820754.0,9247193.0,-3699047.0,3468747.0
A003080,성보화학,12,2020,Annual,51755630.0,55368730.0,-3613100.0,-5884849.0,136776036.0,40792862.0,81145503.0,12936138.0,40384084.0,19354840.0,16002330.0,1450865.0,40761420.0,159298588.0,42155629.0,51755630.0,13213101.0,9586414.0,-168935.0,3335773.0
A003080,성보화학,12,2021,Annual,57745753.0,55952887.0,1792866.0,1033376.0,135579182.0,40342465.0,89355169.0,26860061.0,44330953.0,19648466.0,18944359.0,1873031.0,45024216.0,171947321.0,43112787.0,57745753.0,12840100.0,9508078.0,12066147.0,2929278.0
A003080,성보화학,12,2022,Annual,66448645.0,63743815.0,2704830.0,3624748.0,136901984.0,36328230.0,86176702.0,24280836.0,36282819.0,18393993.0,11000000.0,3380806.0,49893884.0,170201714.0,48375906.0,66448645.0,15367910.0,9018894.0,-3151236.0,2936586.0
A023350,한국종합기술,12,2011,Annual,178015158.0,169920870.0,8094288.0,8254153.0,117377724.0,30175634.0,95844648.0,53344418.0,95844648.0,26493733.0,11000000.0,15164821.0,0.0,186024956.0,147918996.0,178015158.0,22001874.0,15302814.0,11046999.0,869165.0
A023350,한국종합기술,12,2012,Annual,180763714.0,175750661.0,5013053.0,1319802.0,119144315.0,40272959.0,84552186.0,54389934.0,84552186.0,23078065.0,7000000.0,14190215.0,0.0,185606145.0,152438162.0,180763714.0,23312499.0,12071895.0,2379971.0,757936.0
A023350,한국종합기술,12,2013,Annual,171018837.0,165966354.0,5052482.0,5417721.0,123004282.0,69071451.0,88705461.0,54672588.0,88705461.0,22261859.0,10000000.0,11312293.0,0.0,207814312.0,144191005.0,171018837.0,21775350.0,30137443.0,2123270.0,697411.0
A023350,한국종합기술,12,2014,Annual,164370497.0,160019018.0,4351478.0,2898211.0,122737275.0,74048845.0,86218828.0,55239837.0,86218828.0,16638367.0,7000000.0,13522052.0,0.0,225609365.0,138551885.0,164370497.0,21467134.0,47632252.0,-3584484.0,1717167.0
A023350,한국종합기술,12,2015,Annual,183988185.0,180478494.0,3509691.0,1181153.0,121396487.0,72050339.0,87314203.0,57221353.0,87314203.0,17557308.0,4000000.0,17819173.0,0.0,225647093.0,163053119.0,183988185.0,17425376.0,47029252.0,430348.0,2131875.0
A023350,한국종합기술,12,2016,Annual,199370928.0,195134204.0,4236724.0,3063387.0,122403967.0,71715393.0,104206215.0,73439397.0,104206215.0,12410914.0,5200000.0,16354891.0,0.0,242443837.0,176829617.0,199370928.0,18304587.0,46600474.0,1693027.0,2083017.0
A023350,한국종합기술,12,2017,Annual,199604542.0,206857472.0,-7252930.0,-7815611.0,114383390.0,70707473.0,93977948.0,76077411.0,93977948.0,7661999.0,5200000.0,26233351.0,0.0,230798691.0,185005056.0,199604542.0,21852415.0,40337890.0,-11091184.0,2068932.0
A023350,한국종합기술,12,2018,Annual,190942038.0,197183114.0,-6241075.0,-6636791.0,101635340.0,63497004.0,90736044.0,92004660.0,90736044.0,16529124.0,5200000.0,15420806.0,0.0,227908120.0,181462958.0,190942038.0,15720155.0,34268121.0,3872764.0,1917043.0
A023350,한국종합기술,12,2019,Annual,218943295.0,220558626.0,-1615331.0,-1270616.0,115280530.0,60938302.0,137929320.0,146255730.0,137929320.0,36418189.0,4200000.0,19469913.0,0.0,299804232.0,202028602.0,218943295.0,18530024.0,38267972.0,25161425.0,2111513.0
A023350,한국종합기술,12,2020,Annual,288230157.0,283640362.0,4589795.0,6471279.0,137512905.0,85232589.0,135377568.0,157128715.0,135377568.0,54365391.0,3023193.0,17605310.0,0.0,332119487.0,265972371.0,288230157.0,17667991.0,37477867.0,33984174.0,2136952.0
A023350,한국종합기술,12,2021,Annual,268251761.0,261095621.0,7156140.0,11038213.0,142300079.0,84249161.0,131275489.0,163689179.0,131275489.0,54879677.0,3026079.0,17560333.0,0.0,339419339.0,236345865.0,268251761.0,24749756.0,33430081.0,14839628.0,2366513.0
A023350,한국종합기술,12,2022,Annual,283702516.0,278276799.0,5425717.0,3799292.0,148795312.0,82836368.0,123548693.0,157452647.0,123548693.0,37140977.0,10026609.0,17295386.0,0.0,332695360.0,247920334.0,283702516.0,30356465.0,26447401.0,-3718014.0,2529794.0
A004920,씨아이테크,12,2011,Annual,6296933.0,7076191.0,-779258.0,-2644038.0,21847085.0,11566965.0,8848015.0,2280853.0,8848015.0,259631.0,4728552.0,3487473.0,0.0,24213117.0,6057682.0,6296933.0,1018508.0,85179.0,-925742.0,4360.0
