Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A000660,SK하이닉스,12,2020,Annual,14.92,33.89,15.71,137.04,170.52,118.64,12.49,130.00,18.19,8.29,3.21,84.34,136.87,57.93,4.78,18.18,27.07,37.11,4.18,0.47,1.74,0.64,8.72,79.43,115.82,45.54,29.10,182.65,115.02,6.94,5.58,0.61,-1.04,0.98,0.89,1.13,1.18,0.02,0.9,1.02,-0.1,0,0.0
A000660,SK하이닉스,12,2021,Annual,22.36,44.08,28.86,339.30,366.79,140.57,23.52,262.53,34.79,19.81,29.09,147.58,102.07,55.24,4.98,15.21,35.45,54.92,5.25,0.51,1.61,0.75,11.76,75.85,126.44,47.12,35.51,182.6,121.86,6.52,5.7,0.69,-0.88,1.24,0.77,0.9,1.35,0.02,0.84,1.31,-0.08,0,0.0
A000660,SK하이닉스,12,2022,Annual,5.02,35.02,15.26,186.17,109.44,118.01,6.38,60.96,3.78,1.77,13.16,-45.13,-76.69,57.98,3.38,19.76,39.07,64.12,4.79,0.45,1.19,0.71,12.20,43.84,74.56,36.71,26.11,144.8,65.86,6.63,3.63,0.62,-0.83,0.6,1.26,0.85,1.04,0.01,1.3,1.1,-0.08,0,0.0
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
A373220,LG에너지솔루션,12,2020,Annual,-30.92,15.33,-32.52,,,75.46,,,,,,,,43.54,1.63,47.86,62.06,163.59,7.49,,,,,,,-23.27,,131.88,87.71,,,,-0.45,,,,,,,,-0.04,0,0.0
A373220,LG에너지솔루션,12,2021,Annual,5.21,21.84,4.3,768.47,777.18,104.5,9.53,792.52,"1,121.84",15.56,27.26,흑전,흑전,46.5,1.92,17.53,63.21,171.83,5.4,0.82,1.30,2.19,178.52,16.38,34.19,12.57,27.52,100.65,59.53,6.11,5.15,1.42,-0.45,0.08,0.7,1.23,12.22,0.0,0.37,1.02,-0.01,0,0.0
A373220,LG에너지솔루션,12,2022,Annual,3.05,16.76,4.74,"1,118.64",917.34,104.98,6.79,707.13,43.39,135.56,38.73,57.94,-16.14,40.03,1.68,12.02,46.23,85.98,15.5,0.82,1.56,1.75,235.93,15.95,34.62,10.2,17.79,164.3,103.18,6.66,4.7,1.52,0.09,1.14,1.3,0.81,1.43,0.01,0.69,0.73,0.05,0,0.0
A207940,삼성바이오로직스,12,2011,Annual,,,,,,0.0,,,,,,,,44.35,0.53,,22.97,29.82,2.13,,,,,,,,,246.91,246.91,,,,-0.13,,,,,,,,-0.19,0,0.0
