Symbol,Name,결산월,회계년,주기,영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원),총자본(천원),총부채(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원),비유동자산(천원),세전계속사업이익(천원),투자활동으로인한현금흐름(천원)
A000270,기아,12,2012,Annual,3522251000.0,156808000.0,11139430000.0,10000239000.0,6916480000.0,47242933000.0,1801731000.0,36536005000.0,4222950000.0,16848062000.0,15550252000.0,9721198000.0,32398314000.0,7184677000.0,3864704000.0,5550013000.0,4345425000.0,91050000.0,21258884000.0,5164056000.0,-2842577000.0
A000270,기아,12,2013,Annual,3177100000.0,0.0,13472386000.0,10806238000.0,9141019000.0,47597897000.0,2072818000.0,37511941000.0,4331367000.0,20254795000.0,15927245000.0,9777005000.0,36182040000.0,6908856000.0,3817059000.0,5121007000.0,4776593000.0,104555000.0,22709654000.0,4828576000.0,-3513940000.0
A000270,기아,12,2014,Annual,2572549000.0,0.0,16655401000.0,11974338000.0,10574819000.0,47097049000.0,2419265000.0,37754115000.0,6080582000.0,22483865000.0,18560337000.0,10114317000.0,41044202000.0,6770385000.0,2993593000.0,6585999000.0,2363825000.0,106825000.0,24388801000.0,3816316000.0,-2983406000.0
A000270,기아,12,2015,Annual,2354273000.0,0.0,18390784000.0,14579485000.0,10695438000.0,49521447000.0,2388911000.0,39653769000.0,7695346000.0,24204031000.0,21776082000.0,13042121000.0,45980113000.0,7513405000.0,2630600000.0,7196597000.0,3375248000.0,112011000.0,27589329000.0,3100266000.0,-5613823000.0
A000270,기아,12,2016,Annual,2461480000.0,0.0,20912221000.0,16246900000.0,12057848000.0,52712906000.0,2402540000.0,42281590000.0,8854373000.0,26579424000.0,24309836000.0,13493203000.0,50889260000.0,7969836000.0,2754640000.0,8062936000.0,3275882000.0,122470000.0,29977039000.0,3442034000.0,-2312301000.0
A000270,기아,12,2017,Annual,662226000.0,46331000.0,21642079000.0,15323019000.0,13098434000.0,53535680000.0,2092975000.0,44618696000.0,8543645000.0,26861177000.0,25433261000.0,13652902000.0,52294438000.0,8254758000.0,968018000.0,10110242000.0,2594190000.0,116011000.0,30652359000.0,1140053000.0,-4794566000.0
A000270,기아,12,2018,Annual,1157475000.0,0.0,19711791000.0,14834739000.0,12477844000.0,54169813000.0,2049248000.0,46177283000.0,7233947000.0,27243464000.0,24543141000.0,14803300000.0,51786605000.0,6835055000.0,1155943000.0,9708402000.0,4470764000.0,122314000.0,32074814000.0,1468644000.0,-1155444000.0
A000270,기아,12,2019,Annual,2009680000.0,0.0,21555416000.0,17276646000.0,13446735000.0,58145959000.0,2154695000.0,48766570000.0,8108681000.0,28978138000.0,26366660000.0,15746675000.0,55344798000.0,7369709000.0,1826659000.0,9090014000.0,3610658000.0,178730000.0,33789382000.0,2531104000.0,-1104190000.0
A000270,기아,12,2020,Annual,2066457000.0,65120000.0,26093382000.0,21097589000.0,18999423000.0,59168096000.0,1819008000.0,49222564000.0,7093959000.0,29891672000.0,30598771000.0,15579715000.0,60490443000.0,7879075000.0,1487585000.0,9501182000.0,5423896000.0,179412000.0,34397061000.0,1841358000.0,-2864853000.0
A000270,기아,12,2021,Annual,5065685000.0,28038000.0,29205483000.0,21562636000.0,22117798000.0,69862366000.0,1787698000.0,56937165000.0,7087685000.0,34912556000.0,31937441000.0,15583831000.0,66849997000.0,7859516000.0,4760311000.0,10374805000.0,7359670000.0,181200000.0,37644514000.0,6393781000.0,-4423910000.0
A000270,기아,12,2022,Annual,7233120000.0,0.0,34147147000.0,25377803000.0,25043322000.0,86559029000.0,2237444000.0,68536010000.0,9103825000.0,39343081000.0,34367884000.0,15383383000.0,73710965000.0,10789899000.0,5408976000.0,8990081000.0,9333186000.0,178533000.0,39563818000.0,7501993000.0,-5671268000.0
A068270,셀트리온,12,2011,Annual,178657358.0,2604368.0,280744838.0,380289788.0,240146653.0,279041704.0,157723652.0,52259806.0,40598185.0,899546488.0,507766814.0,758085148.0,1407313302.0,48124539.0,167808722.0,127477026.0,62759965.0,4073688.0,1126568464.0,183385244.0,-103120982.0
A068270,셀트리온,12,2012,Annual,195449916.0,16823931.0,577224765.0,416569616.0,499219358.0,350196210.0,371892468.0,93912814.0,78005407.0,1050148749.0,682765148.0,740627309.0,1732913897.0,60833481.0,174431166.0,266195532.0,20970652.0,3186042.0,1155689132.0,187566762.0,-146328642.0
A068270,셀트리온,12,2013,Annual,99845427.0,32118643.0,551530079.0,497796860.0,414689964.0,226207869.0,271345778.0,68685792.0,136840115.0,1087131958.0,891376234.0,716484083.0,1978508192.0,57676650.0,102454821.0,393579374.0,137081056.0,7518844.0,1426978113.0,115664590.0,-229375318.0
A068270,셀트리온,12,2014,Annual,201468888.0,38349073.0,793036329.0,493936504.0,569419285.0,471045511.0,378290034.0,129907860.0,223617044.0,1347781345.0,974603694.0,898228868.0,2322385039.0,139668762.0,117481628.0,480667190.0,145158529.0,5259968.0,1529348710.0,149111204.0,-106337550.0
A068270,셀트리온,12,2015,Annual,242287886.0,32811378.0,1095316617.0,665750830.0,863071751.0,603412769.0,662225999.0,230679540.0,232244866.0,1702780455.0,938389810.0,897605067.0,2641170265.0,130445343.0,139044999.0,272638981.0,59286432.0,5905028.0,1545853648.0,143347553.0,-148657196.0
A068270,셀트리온,12,2016,Annual,221243034.0,17539439.0,1240249662.0,610253362.0,1069310676.0,670580962.0,758305091.0,279930482.0,170938986.0,2060873200.0,822974207.0,867921682.0,2883847406.0,169407445.0,149418661.0,212720844.0,230113413.0,6114390.0,1643597744.0,197433293.0,-141719898.0
A068270,셀트리온,12,2017,Annual,499585551.0,14672138.0,1614033788.0,616781030.0,1414551947.0,949079965.0,828394032.0,251246092.0,199481841.0,2410497675.0,883598311.0,844212382.0,3294095986.0,198248323.0,377725081.0,266817281.0,485980718.0,5944260.0,1680062198.0,483071479.0,-233633218.0
A068270,셀트리온,12,2018,Annual,323131558.0,14745663.0,1664281326.0,678087471.0,1501364505.0,982074960.0,807711315.0,431166901.0,162916821.0,2595259393.0,907848812.0,881437750.0,3503108205.0,227776500.0,237476361.0,229761341.0,364786083.0,6223177.0,1838826879.0,301639079.0,-175836254.0
A068270,셀트리온,12,2019,Annual,381532472.0,10827750.0,1785115920.0,657225838.0,1478405997.0,1128459878.0,814370252.0,494966174.0,306709923.0,2872913211.0,986733418.0,923592892.0,3859646629.0,251961232.0,301442694.0,329507580.0,473993888.0,6797300.0,2074530710.0,382031278.0,-251440600.0
A068270,셀트리온,12,2020,Annual,718577360.0,7503344.0,2516494912.0,1056766921.0,2132170251.0,1849115532.0,1252394564.0,821451543.0,384324661.0,3427580354.0,1592540900.0,946280260.0,5020121254.0,309086629.0,525702910.0,535773979.0,350746672.0,11022203.0,2503626342.0,657152016.0,-471983443.0
A068270,셀트리온,12,2021,Annual,744176850.0,8237638.0,3074470614.0,1210479664.0,2496413760.0,1893401217.0,1101089342.0,805806952.0,578056854.0,4050374687.0,1623747846.0,950411764.0,5674122532.0,343417415.0,595779439.0,413268181.0,911159432.0,36931988.0,2599651919.0,738623431.0,-355825397.0
A068270,셀트리온,12,2022,Annual,647198175.0,7509860.0,2929792464.0,1294097736.0,2313440112.0,2283967480.0,1621890148.0,1251270175.0,616352352.0,4274204270.0,1617448041.0,1007037655.0,5891652311.0,385499131.0,542566233.0,323350305.0,863532.0,40811946.0,2961859847.0,626173377.0,-297051208.0
A005490,POSCO홀딩스,12,2011,Annual,5467693871.0,0.0,33556910427.0,19605356852.0,21273266867.0,68938725064.0,10265421000.0,59823850489.0,12283643560.0,40729920334.0,37678917498.0,28453184150.0,78408837832.0,3647180705.0,3714285845.0,18073560646.0,1691565433.0,172807000.0,44851927404.0,4782394892.0,-5516866472.0
A005490,POSCO홀딩스,12,2012,Annual,3653107747.0,0.0,31566116095.0,19775000575.0,20981470409.0,63604150874.0,9865436000.0,56142892349.0,10584645685.0,42429418415.0,36836432389.0,32276379318.0,79265850804.0,3808150778.0,2385606843.0,17061431814.0,7319456885.0,218747000.0,47699734709.0,3368486461.0,-6169003105.0
A005490,POSCO홀딩스,12,2013,Annual,2996133864.0,0.0,31666211066.0,20241158836.0,21867830482.0,61864649859.0,10299825900.0,55004590605.0,9798380584.0,45822030030.0,38633376655.0,35760118644.0,84455406685.0,3863925390.0,1355180338.0,18392217818.0,4858135043.0,228496000.0,52789195619.0,1946176840.0,-8751669532.0
A005490,POSCO홀딩스,12,2014,Annual,3213530266.0,0.0,32627381902.0,21877008745.0,22156052174.0,65098445304.0,10814599665.0,57815040908.0,10471329728.0,45291364178.0,39960808435.0,35241195102.0,85252172613.0,4069874130.0,556659146.0,18083799690.0,3412099310.0,273220000.0,52624790711.0,1378144332.0,-3745181888.0
