Symbol,Name,결산월,회계년,주기,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
A204320,HL만도,12,2021,Annual,0.92,0.82,1.0,1.1,0.01,1.04,0.98,-0.03
A204320,HL만도,12,2022,Annual,0.9,1.1,1.29,1.22,0.01,0.93,0.95,0.03
A011210,현대위아,12,2011,Annual,,,,,,,,0.04
A011210,현대위아,12,2012,Annual,0.81,0.78,1.08,1.1,0.01,0.98,0.91,-0.01
A011210,현대위아,12,2013,Annual,0.95,1.01,1.22,1.01,0.01,1.01,0.89,-0.0
A011210,현대위아,12,2014,Annual,1.16,1.06,0.9,1.07,0.0,0.98,0.99,0.01
A011210,현대위아,12,2015,Annual,0.93,1.02,1.18,1.04,0.01,1.07,1.01,-0.02
A011210,현대위아,12,2016,Annual,0.97,1.4,0.94,0.96,0.01,0.96,1.02,-0.01
A011210,현대위아,12,2017,Annual,1.0,1.93,0.98,0.99,0.01,0.9,1.05,-0.01
A011210,현대위아,12,2018,Annual,1.35,1.02,0.89,1.05,0.01,1.02,1.02,0.02
A011210,현대위아,12,2019,Annual,0.9,0.71,1.04,0.93,0.01,1.07,0.95,-0.05
A011210,현대위아,12,2020,Annual,1.16,1.02,0.78,0.9,0.01,1.05,1.0,-0.02
A011210,현대위아,12,2021,Annual,0.89,0.81,0.85,1.14,0.0,1.24,0.96,-0.02
A011210,현대위아,12,2022,Annual,1.01,0.92,1.0,1.09,0.0,0.87,0.97,-0.03
A017800,현대엘리베이,12,2011,Annual,,,,,,,,0.05
A017800,현대엘리베이,12,2012,Annual,0.83,0.73,0.93,1.04,0.02,1.2,1.14,-0.04
A017800,현대엘리베이,12,2013,Annual,0.92,0.78,0.81,1.16,0.02,1.0,1.26,-0.0
A017800,현대엘리베이,12,2014,Annual,1.02,0.89,0.99,1.22,0.02,1.15,0.75,-0.01
A017800,현대엘리베이,12,2015,Annual,1.01,0.92,0.48,1.11,0.03,1.12,0.98,0.0
A017800,현대엘리베이,12,2016,Annual,0.92,0.95,1.0,1.21,0.0,1.14,0.98,0.01
A017800,현대엘리베이,12,2017,Annual,1.01,1.18,1.45,1.13,0.0,1.01,1.02,0.02
A017800,현대엘리베이,12,2018,Annual,0.88,0.96,1.15,0.94,0.0,1.0,0.96,-0.01
A017800,현대엘리베이,12,2019,Annual,0.95,0.99,1.0,1.0,0.0,1.05,1.03,0.01
A017800,현대엘리베이,12,2020,Annual,1.01,0.92,0.79,0.97,0.0,1.07,0.97,-0.0
A017800,현대엘리베이,12,2021,Annual,0.99,1.17,1.19,1.08,0.0,0.89,1.02,-0.0
A017800,현대엘리베이,12,2022,Annual,1.03,1.27,0.99,1.08,0.0,1.04,0.99,0.02
A000240,한국앤컴퍼니,12,2011,Annual,,,,,,,,0.06
A000240,한국앤컴퍼니,12,2012,Annual,8.6,0.26,9.84,0.01,0.01,3.87,0.27,-0.49
A000240,한국앤컴퍼니,12,2013,Annual,0.11,1.0,1.86,3.9,0.06,0.34,0.23,0.04
A000240,한국앤컴퍼니,12,2014,Annual,0.72,1.0,1.0,1.49,0.08,0.81,1.05,0.06
A000240,한국앤컴퍼니,12,2015,Annual,1.11,1.0,1.01,0.98,0.08,1.05,1.03,0.05
A000240,한국앤컴퍼니,12,2016,Annual,1.73,2.01,0.88,3.09,0.08,0.63,1.96,0.06
A000240,한국앤컴퍼니,12,2017,Annual,0.8,1.38,1.12,1.2,0.05,0.99,1.05,0.02
A000240,한국앤컴퍼니,12,2018,Annual,1.04,1.07,0.98,1.03,0.06,0.72,0.95,0.04
A000240,한국앤컴퍼니,12,2019,Annual,0.85,1.1,1.0,1.0,0.06,1.22,0.81,0.02
A000240,한국앤컴퍼니,12,2020,Annual,1.0,1.04,0.99,0.97,0.05,0.98,1.3,0.01
A000240,한국앤컴퍼니,12,2021,Annual,1.06,0.87,1.01,1.18,0.03,1.0,1.1,0.05
A000240,한국앤컴퍼니,12,2022,Annual,1.12,1.09,1.04,1.14,0.02,0.86,1.22,0.05
A051600,한전KPS,12,2011,Annual,,,,,,,,0.13
A051600,한전KPS,12,2012,Annual,1.19,0.92,0.81,1.09,0.03,1.04,1.12,-0.03
A051600,한전KPS,12,2013,Annual,1.19,0.94,0.96,1.12,0.03,0.84,0.88,0.09
A051600,한전KPS,12,2014,Annual,0.73,0.84,1.21,0.96,0.02,1.13,0.94,0.03
A051600,한전KPS,12,2015,Annual,1.2,1.21,0.85,1.09,0.01,1.09,0.97,0.03
A051600,한전KPS,12,2016,Annual,0.98,1.34,1.18,1.04,0.02,1.14,1.16,-0.02
A051600,한전KPS,12,2017,Annual,1.08,0.78,0.93,1.01,0.02,0.99,0.89,0.03
A051600,한전KPS,12,2018,Annual,0.93,0.94,1.38,1.0,0.02,0.89,0.94,0.05
A051600,한전KPS,12,2019,Annual,0.92,0.98,0.62,1.0,0.02,1.04,0.94,0.02
A051600,한전KPS,12,2020,Annual,1.13,1.36,1.04,1.05,0.02,0.9,1.01,0.05
A051600,한전KPS,12,2021,Annual,0.75,1.03,1.24,1.06,0.02,1.16,1.0,-0.01
A051600,한전KPS,12,2022,Annual,0.94,1.0,1.25,1.04,0.02,0.99,1.0,0.03
A047040,대우건설,12,2011,Annual,,,,,,,,0.04
A047040,대우건설,12,2012,Annual,0.88,0.98,0.94,1.17,0.0,1.05,1.02,0.15
A047040,대우건설,12,2013,Annual,1.08,2.57,0.99,1.07,0.0,1.16,1.13,0.03
A047040,대우건설,12,2014,Annual,0.93,0.51,0.99,1.14,0.0,0.51,1.0,0.02
A047040,대우건설,12,2015,Annual,0.32,1.35,1.04,0.99,0.02,1.17,0.98,-0.05
A047040,대우건설,12,2016,Annual,1.01,6.6,1.15,1.12,0.02,1.28,1.1,-0.08
A047040,대우건설,12,2017,Annual,0.85,0.12,1.13,1.06,0.02,0.68,0.93,0.01
A047040,대우건설,12,2018,Annual,1.09,0.73,1.01,0.9,0.02,1.11,0.99,0.05
A047040,대우건설,12,2019,Annual,1.56,0.98,0.98,0.82,0.02,1.5,1.01,0.07
A047040,대우건설,12,2020,Annual,0.79,0.8,0.99,0.94,0.08,0.96,0.96,0.02
A047040,대우건설,12,2021,Annual,0.69,0.86,0.88,1.07,0.14,1.06,0.97,-0.1
A047040,대우건설,12,2022,Annual,1.3,1.19,0.88,1.2,0.11,0.82,0.96,0.11
A000080,하이트진로,12,2011,Annual,,,,,,,,-0.03
A000080,하이트진로,12,2012,Annual,0.72,0.95,1.45,1.48,0.01,1.09,1.0,0.02
A000080,하이트진로,12,2013,Annual,1.05,0.99,0.8,0.93,0.01,1.01,1.02,-0.02
A000080,하이트진로,12,2014,Annual,0.94,1.04,1.01,0.99,0.01,1.06,1.0,-0.04
A000080,하이트진로,12,2015,Annual,1.03,0.97,0.89,1.02,0.01,0.98,1.01,-0.05
A000080,하이트진로,12,2016,Annual,0.99,0.99,0.94,0.99,0.01,1.03,1.0,-0.02
A000080,하이트진로,12,2017,Annual,1.03,1.02,0.94,1.0,0.01,1.02,1.05,-0.07
A000080,하이트진로,12,2018,Annual,0.88,1.05,0.97,1.0,0.01,0.94,1.01,-0.01
A000080,하이트진로,12,2019,Annual,0.76,0.94,1.48,1.08,0.01,1.08,1.04,0.02
A000080,하이트진로,12,2020,Annual,0.83,0.99,0.91,1.11,0.02,0.89,0.99,-0.06
A000080,하이트진로,12,2021,Annual,1.03,1.03,0.85,0.98,0.02,0.99,1.04,-0.12
A000080,하이트진로,12,2022,Annual,1.0,0.99,1.03,1.13,0.02,1.02,0.93,0.08
A018670,SK가스,12,2011,Annual,,,,,,,,0.09
A018670,SK가스,12,2012,Annual,1.16,1.11,0.59,1.05,0.03,0.96,1.11,-0.09
A018670,SK가스,12,2013,Annual,1.1,0.97,1.49,0.88,0.03,1.05,0.87,0.03
A018670,SK가스,12,2014,Annual,0.73,0.84,1.57,0.89,0.02,1.26,1.01,-0.04
A018670,SK가스,12,2015,Annual,1.26,0.71,0.96,0.69,0.01,1.53,1.04,0.06
A018670,SK가스,12,2016,Annual,1.24,0.91,1.45,1.29,0.01,0.92,0.96,0.07
A018670,SK가스,12,2017,Annual,1.0,1.72,1.03,1.21,0.02,0.7,1.02,0.05
A018670,SK가스,12,2018,Annual,0.86,1.19,1.26,1.08,0.02,0.78,0.95,0.05
A018670,SK가스,12,2019,Annual,1.18,0.53,1.14,0.72,0.03,1.54,1.05,-0.03
A018670,SK가스,12,2020,Annual,1.22,0.82,0.96,0.89,0.03,1.32,0.97,-0.01
A018670,SK가스,12,2021,Annual,0.93,1.79,0.96,1.47,0.03,0.69,1.01,0.1
A018670,SK가스,12,2022,Annual,0.85,0.68,0.86,1.24,0.03,0.88,1.02,0.04
A005850,에스엘,12,2011,Annual,,,,,,,,-0.02
A005850,에스엘,12,2012,Annual,0.74,1.23,1.07,1.33,0.03,0.77,0.94,-0.03
A005850,에스엘,12,2013,Annual,1.0,1.07,1.04,1.07,0.01,0.96,0.96,-0.06
A005850,에스엘,12,2014,Annual,1.2,0.89,0.97,1.09,0.01,0.95,1.0,-0.02
A005850,에스엘,12,2015,Annual,0.89,0.87,0.94,1.03,0.01,1.22,1.04,-0.06
A005850,에스엘,12,2016,Annual,1.02,0.94,1.01,1.16,0.01,0.8,0.91,0.01
A005850,에스엘,12,2017,Annual,0.87,1.19,1.07,0.92,0.01,1.08,0.87,-0.05
A005850,에스엘,12,2018,Annual,1.23,1.35,0.99,1.07,0.01,1.14,1.13,-0.03
A005850,에스엘,12,2019,Annual,1.19,0.9,0.51,1.42,0.01,0.91,0.96,0.04
