Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A069730,DSR제강,2003,12,2013,Annual,1.06,1.07,흑전,46.74,101.18,1.78,11.60
A069730,DSR제강,2003,12,2014,Annual,8.94,7.34,101.42,302.29,85.78,1.92,17.31
A069730,DSR제강,2003,12,2015,Annual,11.06,8.53,8.17,35.18,56.08,1.61,18.40
A069730,DSR제강,2003,12,2016,Annual,8.51,7.08,-24.08,-11.95,50.44,1.41,15.79
A069730,DSR제강,2003,12,2017,Annual,4.45,2.87,-67.66,-42.28,50.77,1.38,11.67
A069730,DSR제강,2003,12,2018,Annual,6.70,4.68,151.68,47.29,50.9,1.39,13.16
A069730,DSR제강,2003,12,2019,Annual,5.85,4.2,-16.58,-8.53,42.14,1.38,11.64
A069730,DSR제강,2003,12,2020,Annual,4.27,3.1,-32.08,-21.87,41.02,1.22,8.47
A069730,DSR제강,2003,12,2021,Annual,5.97,5.18,21.44,44.34,57.12,1.38,9.09
A069730,DSR제강,2003,12,2022,Annual,19.59,19.02,514.39,279.59,41.67,1.55,20.23
A017940,E1,1997,12,2012,Annual,10.45,6.27,-20.15,23.98,192.66,6.36,12.54
A017940,E1,1997,12,2013,Annual,4.48,1.76,-0.92,-62.58,197.19,5.95,7.71
A017940,E1,1997,12,2014,Annual,3.97,2.08,-20.12,20.78,193.41,5.59,7.62
A017940,E1,1997,12,2015,Annual,0.40,-0.86,-63.54,-99.75,183.96,3.72,4.89
A017940,E1,1997,12,2016,Annual,-2.80,-4.27,-65.04,적전,199.53,3.30,1.59
A017940,E1,1997,12,2017,Annual,10.10,5.73,745.02,흑전,176.58,3.62,10.45
A017940,E1,1997,12,2018,Annual,8.21,5.19,-85.04,-8.67,170.95,3.61,9.51
A017940,E1,1997,12,2019,Annual,-0.39,-8.56,658.66,적전,198.76,3.66,5.61
A017940,E1,1997,12,2020,Annual,7.82,3.34,-62.82,흑전,200.09,3.21,14.83
A017940,E1,1997,12,2021,Annual,13.33,10.45,-85.9,145.99,191.2,3.94,18.67
A017940,E1,1997,12,2022,Annual,13.44,9.97,"4,899.37",2.09,187.33,5.54,17.72
A383220,F&F,2021,12,2021,Annual,,,,,110.68,,
A383220,F&F,2021,12,2022,Annual,81.54,74.26,62.66,96.08,66.48,2.44,70.34
A007700,F&F홀딩스,1984,12,2012,Annual,5.93,3.49,-65.49,-58.86,24.4,1.20,7.72
A007700,F&F홀딩스,1984,12,2013,Annual,5.89,4,2.61,3.36,56.5,1.28,7.46
A007700,F&F홀딩스,1984,12,2014,Annual,9.50,6.77,67.9,66.95,70.25,1.64,11.19
A007700,F&F홀딩스,1984,12,2015,Annual,8.61,5.34,55.4,-11.02,67.02,1.90,10.23
A007700,F&F홀딩스,1984,12,2016,Annual,19.26,13.56,143.19,142.98,34.79,2.06,17.49
A007700,F&F홀딩스,1984,12,2017,Annual,38.07,30.55,115.06,147.74,35.19,2.14,31.64
