Symbol,Name,결산월,회계년,주기,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익(천원),영업비용(천원),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A002300,한국제지,12,2022,Annual,,,,,,,,,
A002340,유성,12,2011,Annual,,,,,,,,,
A002340,유성,12,2012,Annual,,,,,,,,,
A002340,유성,12,2013,Annual,,,,,,,,,
A002340,유성,12,2014,Annual,,,,,,,,,
A002340,유성,12,2015,Annual,,,,,,,,,
A002340,유성,12,2016,Annual,,,,,,,,,
A002340,유성,12,2017,Annual,,,,,,,,,
A002340,유성,12,2018,Annual,,,,,,,,,
A002340,유성,12,2019,Annual,,,,,,,,,
A002340,유성,12,2020,Annual,,,,,,,,,
A002340,유성,12,2021,Annual,,,,,,,,,
A002340,유성,12,2022,Annual,,,,,,,,,
A002440,미원,12,2011,Annual,,,,,,,,,
A002440,미원,12,2012,Annual,,,,,,,,,
A002440,미원,12,2013,Annual,,,,,,,,,
A002440,미원,12,2014,Annual,,,,,,,,,
A002440,미원,12,2015,Annual,,,,,,,,,
A002440,미원,12,2016,Annual,,,,,,,,,
A002440,미원,12,2017,Annual,,,,,,,,,
A002440,미원,12,2018,Annual,,,,,,,,,
A002440,미원,12,2019,Annual,,,,,,,,,
A002440,미원,12,2020,Annual,,,,,,,,,
A002440,미원,12,2021,Annual,,,,,,,,,
A002440,미원,12,2022,Annual,,,,,,,,,
A002530,벽산건설,12,2011,Annual,8.94,-0.06,-13.03,-0.19,"667,453,609","667,833,394",-14.86,-49.45,-43.37
A002530,벽산건설,12,2012,Annual,0.01,-53.62,-89.32,-173.86,"418,331,665","642,647,837",-72.09,-233.73,-289.61
A002530,벽산건설,12,2013,Annual,,,,,,,,,
A002530,벽산건설,12,2014,Annual,,,,,,,,,
A002530,벽산건설,12,2015,Annual,,,,,,,,,
A002530,벽산건설,12,2016,Annual,,,,,,,,,
A002530,벽산건설,12,2017,Annual,,,,,,,,,
A002530,벽산건설,12,2018,Annual,,,,,,,,,
A002530,벽산건설,12,2019,Annual,,,,,,,,,
A002530,벽산건설,12,2020,Annual,,,,,,,,,
A002530,벽산건설,12,2021,Annual,,,,,,,,,
A002530,벽산건설,12,2022,Annual,,,,,,,,,
A002540,고제,12,2011,Annual,,,,,,,,,
A002540,고제,12,2012,Annual,,,,,,,,,
A002540,고제,12,2013,Annual,,,,,,,,,
A002540,고제,12,2014,Annual,,,,,,,,,
A002540,고제,12,2015,Annual,,,,,,,,,
A002540,고제,12,2016,Annual,,,,,,,,,
A002540,고제,12,2017,Annual,,,,,,,,,
A002540,고제,12,2018,Annual,,,,,,,,,
A002540,고제,12,2019,Annual,,,,,,,,,
A002540,고제,12,2020,Annual,,,,,,,,,
A002540,고제,12,2021,Annual,,,,,,,,,
A002540,고제,12,2022,Annual,,,,,,,,,
A002550,KB손해보험,3,2011,Annual,61.98,3.17,2.16,969.94,"9,166,631,600","8,875,648,872",3.21,979.42,661.31
