Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),유동부채(천원),현금비율,현금및현금성자산(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),매출액(천원),단기금융상품(천원)
A000270,기아,12,2015,Annual,69.93,,"12,275,521,000","9,277,848,000",,"11,164,872,000","9,277,848,000",,"865,977,000","9,277,848,000",29.82,6.00,7.98,41.15,"32,699,936,000","4,038,160,000"
A000270,기아,12,2016,Annual,67.34,,"13,405,152,000","9,654,996,000",,"12,130,578,000","9,654,996,000",,"748,325,000","9,654,996,000",28.35,5.98,6.33,40.24,"31,641,854,000","5,356,749,000"
A000270,기아,12,2017,Annual,74.39,,"15,248,186,000","9,123,635,000",,"13,701,629,000","9,123,635,000",,"557,216,000","9,123,635,000",27.59,6.06,0.16,42.66,"32,109,883,000","7,007,794,000"
A000270,기아,12,2018,Annual,68.88,,"12,990,133,000","8,132,675,000",,"11,513,288,000","8,132,675,000",,"605,746,000","8,132,675,000",29.55,6.41,-10.75,40.79,"31,912,189,000","6,134,125,000"
A000270,기아,12,2019,Annual,65.68,,"13,334,847,000","9,571,234,000",,"11,852,630,000","9,571,234,000",,"1,765,647,000","9,571,234,000",29.63,6.31,1.78,39.64,"33,857,781,000","5,034,096,000"
A000270,기아,12,2020,Annual,76.35,,"15,667,690,000","12,013,478,000",,"13,963,092,000","12,013,478,000",,"1,524,694,000","12,013,478,000",27.42,6.09,1.26,43.30,"34,362,327,000","5,716,133,000"
A000270,기아,12,2021,Annual,76.68,,"17,683,237,000","12,926,547,000",,"16,071,102,000","12,926,547,000",,"4,309,804,000","12,926,547,000",24.92,6.00,9.26,43.40,"40,979,570,000","3,762,065,000"
A000270,기아,12,2022,Annual,76.48,,"17,675,474,000","14,444,194,000",,"14,889,435,000","14,444,194,000",,"2,454,561,000","14,444,194,000",24.03,5.94,23.74,43.34,"46,409,721,000","1,851,381,000"
A068270,셀트리온,12,2011,Annual,55.77,,"275,219,373","375,766,959",,"235,478,986","375,766,959",,"46,246,331","375,766,959",53.60,18.52,37.47,35.80,"278,592,584","1,000,000"
A068270,셀트리온,12,2012,Annual,64.59,,"572,331,415","412,180,846",,"495,109,951","412,180,846",,"50,977,724","412,180,846",42.54,21.77,26.26,39.24,"348,955,193","21,000,000"
A068270,셀트리온,12,2013,Annual,81.19,,"548,633,794","490,306,287",,"413,215,413","490,306,287",,"79,524,136","490,306,287",36.09,25.47,-4.92,44.81,"224,575,287",0
A068270,셀트리온,12,2014,Annual,66.64,,"697,541,089","423,054,493",,"550,999,400","423,054,493",,"105,159,675","423,054,493",32.96,27.05,81.63,39.99,"404,621,868",0
A068270,셀트리온,12,2015,Annual,45.49,,"943,999,662","607,475,186",,"786,387,325","607,475,186",,"139,618,111","607,475,186",27.36,23.41,-33.91,31.27,"528,784,433","5,285,720"
A068270,셀트리온,12,2016,Annual,31.35,,"1,076,603,084","524,271,609",,"963,484,541","524,271,609",,"257,604,839","524,271,609",23.85,25.85,63.95,23.87,"577,574,962","5,450,335"
A068270,셀트리온,12,2017,Annual,30.49,,"1,421,211,524","491,067,961",,"1,280,047,216","491,067,961",,"413,501,866","491,067,961",20.27,24.68,26.04,23.37,"828,917,202","138,402,014"
A068270,셀트리온,12,2018,Annual,29.44,,"1,482,310,008","548,121,290",,"1,356,592,566","548,121,290",,"399,558,426","548,121,290",20.11,26.02,38.04,22.74,"861,884,226","120,426,667"
A068270,셀트리온,12,2019,Annual,28.00,,"1,610,730,917","517,564,389",,"1,342,015,242","517,564,389",,"526,092,843","517,564,389",19.09,26.88,6.59,21.88,"981,870,269","79,100,000"
A068270,셀트리온,12,2020,Annual,39.75,,"2,294,204,329","900,571,681",,"1,960,302,974","900,571,681",,"615,216,684","900,571,681",14.55,22.77,18.11,28.44,"1,689,786,997","10,034,381"
A068270,셀트리온,12,2021,Annual,32.89,,"2,699,784,600","950,175,730",,"2,193,893,403","950,175,730",,"1,078,949,146","950,175,730",13.29,22.10,-13.42,24.75,"1,615,839,890","23,600,000"
A068270,셀트리온,12,2022,Annual,33.61,,"2,580,534,104","1,105,339,630",,"2,035,930,934","1,105,339,630",,"501,359,477","1,105,339,630",13.93,23.67,25.30,25.16,"1,937,469,297","25,600,000"
A005490,POSCO홀딩스,12,2011,Annual,40.24,,"13,924,795,314","5,015,144,530",,"6,780,086,622","5,015,144,530",,"1,137,882,224","5,015,144,530",40.84,0.42,17.08,28.69,"39,171,703,426","999,286,000"
A005490,POSCO홀딩스,12,2012,Annual,33.59,,"12,609,470,892","4,543,512,090",,"7,205,810,631","4,543,512,090",,"1,752,559,876","4,543,512,090",42.37,0.56,3.96,25.14,"35,664,933,133","798,796,704"
A005490,POSCO홀딩스,12,2013,Annual,28.20,,"11,953,479,014","3,704,519,819",,"7,414,822,416","3,704,519,819",,"1,394,314,607","3,704,519,819",42.85,0.81,0.02,22.00,"30,543,544,661","2,318,816,414"
A005490,POSCO홀딩스,12,2014,Annual,23.83,,"11,623,129,859","3,516,051,872",,"7,239,561,703","3,516,051,872",,"1,742,767,034","3,516,051,872",42.44,0.77,4.33,19.24,"29,218,854,280","693,021,093"
A005490,POSCO홀딩스,12,2015,Annual,19.25,,"11,427,638,423","3,817,678,457",,"8,000,627,711","3,817,678,457",,"1,634,105,660","3,817,678,457",41.93,0.96,-0.92,16.14,"25,607,220,942","3,298,420,976"
A005490,POSCO홀딩스,12,2016,Annual,17.43,,"11,732,675,843","2,697,251,937",,"7,737,384,856","2,697,251,937",,"120,528,797","2,697,251,937",42.76,0.98,-5.78,14.84,"24,324,933,260","4,130,963,325"
A005490,POSCO홀딩스,12,2017,Annual,16.87,,"14,840,421,236","3,570,147,956",,"10,296,888,612","3,570,147,956",,"332,404,633","3,570,147,956",40.16,0.98,1.82,14.44,"28,553,814,576","5,821,781,737"
