Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A023450,동남합성,12,2014,Annual,25.68,3.23,"2,471,253",,"2,295,613",,"50,326,340","42,329,101"
A023450,동남합성,12,2015,Annual,0.50,63.03,"4,028,876",,"3,459,736",,"53,638,693","42,284,139"
A023450,동남합성,12,2016,Annual,36.25,99.89,"8,053,178",,"7,076,752",,"66,454,975","55,570,893"
A023450,동남합성,12,2017,Annual,31.86,-88.89,"894,814",,"1,619,704",,"51,177,369","56,085,732"
A023450,동남합성,12,2018,Annual,1.33,791.09,"7,973,585",,"5,856,317",,"61,509,441","57,819,456"
A023450,동남합성,12,2019,Annual,-9.49,23.26,"9,828,616",,"17,838,941",,"74,521,787","55,789,568"
A023450,동남합성,12,2020,Annual,-0.90,37.30,"13,494,365",,"9,947,503",,"49,019,199","44,466,973"
A023450,동남합성,12,2021,Annual,28.31,10.46,"14,906,407",,"11,725,985",,"46,260,250","42,246,881"
A023450,동남합성,12,2022,Annual,20.65,-9.70,"13,461,075",,"10,621,743",,"50,026,346","56,047,707"
A123690,한국화장품,12,2011,Annual,57.96,적지,"-2,958,079",,"794,544",,"76,951,496","24,172,277"
A123690,한국화장품,12,2012,Annual,-22.24,적지,"-7,180,488",,"-6,928,757",,"70,352,634","24,221,655"
A123690,한국화장품,12,2013,Annual,-8.95,적지,"-2,521,372",,"-46,317,316",,"23,894,240","23,520,792"
A123690,한국화장품,12,2014,Annual,-8.41,적지,"-4,676,664",,"26,369,023",,"50,441,772","9,270,853"
A123690,한국화장품,12,2015,Annual,-16.34,적지,"-4,395,735",,"-5,026,187",,"45,557,767","5,837,374"
A123690,한국화장품,12,2016,Annual,-22.20,적지,"-5,559,644",,"10,474,804",,"55,692,395","6,185,873"
A123690,한국화장품,12,2017,Annual,-6.37,적지,"-7,132,465",,"3,838,568",,"59,311,610","6,278,286"
A123690,한국화장품,12,2018,Annual,55.98,적지,"-7,088,893",,"-6,647,420",,"54,051,189","5,958,146"
A123690,한국화장품,12,2019,Annual,-18.13,적지,"-5,077,727",,"-18,305,664",,"35,700,493","2,451,612"
A123690,한국화장품,12,2020,Annual,-31.26,적지,"-5,855,018",,"-6,585,744",,"30,826,771","2,417,300"
A123690,한국화장품,12,2021,Annual,-15.57,적지,"-3,394,592",,"-3,497,925",,"26,784,786","1,777,824"
A123690,한국화장품,12,2022,Annual,-27.76,적지,"-2,738,147",,"-3,359,452",,"23,451,135","460,089"
A005870,휴니드,12,2011,Annual,-10.26,흑전,"514,256",,"-2,975,756",,"69,687,859","73,736,827"
A005870,휴니드,12,2012,Annual,-13.38,적전,"-4,285,372",,"-7,729,115",,"61,387,217","72,454,715"
A005870,휴니드,12,2013,Annual,38.55,흑전,"225,337",,"-906,629",,"60,862,062","72,170,878"
A005870,휴니드,12,2014,Annual,-29.10,73.08,"390,012",,"1,647,679",,"64,321,386","70,669,904"
A005870,휴니드,12,2015,Annual,50.23,429.84,"2,066,444",,"1,168,369",,"78,721,521","69,718,014"
A005870,휴니드,12,2016,Annual,195.68,816.71,"18,943,297",,"18,354,300",,"92,188,330","73,309,783"
A005870,휴니드,12,2017,Annual,1.07,-11.26,"16,809,732",,"17,577,615",,"109,593,978","74,820,923"
A005870,휴니드,12,2018,Annual,44.48,78.16,"29,948,019",,"26,482,992",,"108,582,082","73,073,723"
A005870,휴니드,12,2019,Annual,-25.50,-70.75,"8,760,264",,"7,964,233",,"115,848,293","71,693,408"
A005870,휴니드,12,2020,Annual,3.39,25.96,"11,034,500",,"6,333,487",,"119,927,126","69,717,303"
A005870,휴니드,12,2021,Annual,13.13,20.48,"13,294,092",,"13,016,424",,"133,181,246","68,510,598"
A005870,휴니드,12,2022,Annual,-2.30,-4.76,"12,661,325",,"9,259,054",,"144,336,819","68,397,458"
A036580,팜스코,12,2011,Annual,0.30,42.88,"24,350,261",,"19,326,375",,"202,436,875","130,564,505"
A036580,팜스코,12,2012,Annual,25.05,-17.83,"20,008,606",,"29,356,553",,"230,681,974","121,731,247"
A036580,팜스코,12,2013,Annual,11.84,-68.98,"6,205,801",,"13,482,869",,"245,870,945","152,094,920"
A036580,팜스코,12,2014,Annual,12.79,370.02,"29,168,640",,"18,443,624",,"281,978,715","117,512,838"
A036580,팜스코,12,2015,Annual,4.33,25.63,"36,644,585",,"16,779,418",,"306,933,420","114,675,660"
A036580,팜스코,12,2016,Annual,5.89,4.13,"38,157,986",,"28,590,779",,"333,030,569","118,514,911"
A036580,팜스코,12,2017,Annual,6.52,-18.30,"31,175,998",,"32,389,853",,"355,495,573","126,086,362"
A036580,팜스코,12,2018,Annual,-5.47,-5.62,"29,424,155",,"10,477,759",,"353,027,708","146,886,843"
A036580,팜스코,12,2019,Annual,2.79,-45.45,"16,052,084",,"-28,845,809",,"317,509,463","151,466,031"
A036580,팜스코,12,2020,Annual,21.18,104.99,"32,905,075",,"9,487,709",,"317,379,728","156,309,521"
A036580,팜스코,12,2021,Annual,13.82,-7.82,"30,332,309",,"-4,749,540",,"310,240,135","152,290,178"
A036580,팜스코,12,2022,Annual,25.81,-33.54,"20,158,199",,"-34,850,610",,"273,065,578","169,630,778"
A002200,한국수출포장,12,2011,Annual,10.57,17.58,"12,046,190",,"8,370,330",,"186,782,448","205,344,277"
A002200,한국수출포장,12,2012,Annual,4.70,204.98,"36,738,008",,"25,515,166",,"210,297,614","196,479,498"
A002200,한국수출포장,12,2013,Annual,-9.34,-60.21,"14,616,334",,"10,484,827",,"217,782,441","209,535,645"
A002200,한국수출포장,12,2014,Annual,-2.17,-9.06,"13,292,054",,"10,626,049",,"226,084,780","226,494,396"
A002200,한국수출포장,12,2015,Annual,-0.49,-83.41,"2,205,801",,"-605,610",,"223,329,176","215,044,397"
A002200,한국수출포장,12,2016,Annual,-1.34,15.76,"2,553,503",,"-518,241",,"221,261,921","206,593,692"
A002200,한국수출포장,12,2017,Annual,7.25,적전,"-6,904,541",,"-5,421,029",,"213,875,607","218,821,662"
A002200,한국수출포장,12,2018,Annual,14.55,흑전,"22,685,432",,"16,999,271",,"228,750,979","208,599,292"
A002200,한국수출포장,12,2019,Annual,-3.17,-16.29,"18,990,150",,"17,783,551",,"244,080,408","206,954,371"
A002200,한국수출포장,12,2020,Annual,-2.68,-45.32,"10,384,289",,"7,982,372",,"248,442,474","204,869,440"
A002200,한국수출포장,12,2021,Annual,20.61,82.88,"18,991,260",,"15,099,776",,"258,510,558","202,195,764"
A002200,한국수출포장,12,2022,Annual,7.15,32.99,"25,257,329",,"20,001,837",,"275,747,368","198,325,557"
A002600,조흥,12,2011,Annual,48.42,103.79,"9,777,963",,"8,201,681",,"87,954,680","36,044,673"
A002600,조흥,12,2012,Annual,-2.83,-33.74,"6,479,317",,"7,869,314",,"94,371,799","52,554,204"
A002600,조흥,12,2013,Annual,3.57,-13.41,"5,610,547",,"4,594,423",,"97,464,497","50,273,190"
A002600,조흥,12,2014,Annual,13.14,27.65,"7,161,912",,"5,275,245",,"101,657,533","50,656,352"
A002600,조흥,12,2015,Annual,0.38,-8.10,"6,581,863",,"6,637,659",,"106,767,604","51,491,603"
A002600,조흥,12,2016,Annual,14.62,75.13,"11,526,984",,"8,119,809",,"113,166,943","58,575,839"
A002600,조흥,12,2017,Annual,25.01,22.11,"14,075,159",,"11,298,260",,"120,391,186","67,907,173"
A002600,조흥,12,2018,Annual,3.67,-19.22,"11,369,420",,"8,035,646",,"125,517,341","86,917,567"
A002600,조흥,12,2019,Annual,16.06,8.62,"12,349,895",,"7,845,407",,"129,462,116","97,002,379"
A002600,조흥,12,2020,Annual,14.12,-4.56,"11,787,348",,"7,516,524",,"133,230,603","103,415,541"
A002600,조흥,12,2021,Annual,12.69,61.81,"19,072,641",,"16,074,915",,"145,739,266","125,946,848"
A002600,조흥,12,2022,Annual,27.32,-19.68,"15,318,484",,"11,843,676",,"154,897,681","140,961,269"
A015590,KIB플러그에너지,12,2011,Annual,20.68,적전,"-26,524,468",,"-20,497,354",,"59,277,572","95,055,695"
A015590,KIB플러그에너지,12,2012,Annual,8.25,흑전,"19,056,774",,"6,312,344",,"68,104,513","93,815,324"
A015590,KIB플러그에너지,12,2013,Annual,-16.38,-25.64,"14,170,203",,"8,061,192",,"77,442,460","91,066,053"
A015590,KIB플러그에너지,12,2014,Annual,34.82,-64.63,"5,012,604",,"289,693",,"77,996,506","98,345,395"
A015590,KIB플러그에너지,12,2015,Annual,-24.76,적전,"-12,343,696",,"-15,082,515",,"64,270,397","88,649,446"
A015590,KIB플러그에너지,12,2016,Annual,-14.47,적지,"-11,504,645",,"-19,305,575",,"56,656,354","81,136,836"
A015590,KIB플러그에너지,12,2017,Annual,-18.38,흑전,"6,738,189",,"-7,056,506",,"75,818,133","77,359,368"
A015590,KIB플러그에너지,12,2018,Annual,-46.91,적전,"-9,743,899",,"-16,268,117",,"69,600,805","74,542,658"
A015590,KIB플러그에너지,12,2019,Annual,77.43,흑전,"19,782,502",,"3,181,372",,"97,779,485","63,864,431"
A015590,KIB플러그에너지,12,2020,Annual,-15.07,-51.56,"9,583,311",,"1,340,474",,"107,366,377","61,777,630"
A015590,KIB플러그에너지,12,2021,Annual,-35.41,적전,"-14,968,118",,"-13,018,203",,"98,020,238","60,786,525"
A015590,KIB플러그에너지,12,2022,Annual,30.94,흑전,"12,936,915",,"11,278,003",,"109,826,949","50,785,298"
