Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A000270,기아,12,2021,Annual,0.94,,"40,979,570,000","4,498,001,000",,"40,979,570,000","1,612,135,000",2.18,1.67,19.16,"45,188,766,000","33,201,731,000"
A000270,기아,12,2022,Annual,1.01,,"46,409,721,000","3,440,246,000",,"46,409,721,000","2,786,039,000",2.33,1.78,21.69,"46,715,448,000","37,273,052,000"
A068270,셀트리온,12,2011,Annual,0.22,,"278,592,584","157,705,692",,"278,592,584","39,740,387",0.65,0.33,4.79,"1,405,342,718","50,626,240"
A068270,셀트리온,12,2012,Annual,0.22,,"348,955,193","371,500,965",,"348,955,193","77,221,464",0.59,0.36,4.79,"1,728,599,933","91,916,529"
A068270,셀트리온,12,2013,Annual,0.12,,"224,575,287","271,232,537",,"224,575,287","135,418,381",0.29,0.21,2.39,"1,972,614,126","66,592,227"
A068270,셀트리온,12,2014,Annual,0.20,,"404,621,868","338,875,237",,"404,621,868","146,541,689",0.47,0.34,3.97,"2,098,697,249","105,330,387"
A068270,셀트리온,12,2015,Annual,0.23,,"528,784,433","619,156,091",,"528,784,433","157,612,337",0.66,0.36,4.90,"2,449,856,665","203,737,018"
A068270,셀트리온,12,2016,Annual,0.22,,"577,574,962","678,463,204",,"577,574,962","113,118,543",0.82,0.31,5.04,"2,722,746,720","219,182,904"
A068270,셀트리온,12,2017,Annual,0.28,,"828,917,202","713,489,013",,"828,917,202","141,164,308",1.20,0.37,6.93,"3,138,184,505","209,642,675"
A068270,셀트리온,12,2018,Annual,0.26,,"861,884,226","689,472,264",,"861,884,226","125,717,442",1.15,0.34,6.95,"3,370,639,262","347,308,262"
A068270,셀트리온,12,2019,Annual,0.28,,"981,870,269","690,252,563",,"981,870,269","268,715,675",1.25,0.36,7.74,"3,674,522,702","410,455,518"
A068270,셀트리온,12,2020,Annual,0.40,,"1,689,786,997","1,139,308,335",,"1,689,786,997","333,901,355",1.56,0.54,12.83,"4,781,125,289","734,324,264"
A068270,셀트리온,12,2021,Annual,0.32,,"1,615,839,890","958,137,041",,"1,615,839,890","505,891,197",1.21,0.44,11.84,"5,315,369,384","685,970,661"
A068270,셀트리온,12,2022,Annual,0.36,,"1,937,469,297","1,433,189,524",,"1,937,469,297","544,603,170",1.43,0.47,13.90,"5,571,483,130","1,052,058,068"
A005490,POSCO홀딩스,12,2011,Annual,0.77,,"39,171,703,426","4,220,241,446",,"39,171,703,426","7,144,708,692",2.78,1.06,81.20,"52,727,876,388","33,077,807,769"
A005490,POSCO홀딩스,12,2012,Annual,0.68,,"35,664,933,133","4,087,029,944",,"35,664,933,133","5,403,660,260",2.52,0.93,73.93,"52,320,436,140","31,041,899,894"
A005490,POSCO홀딩스,12,2013,Annual,0.57,,"30,543,544,661","3,393,443,840",,"30,543,544,661","4,538,656,598",2.44,0.75,63.32,"54,242,277,654","26,494,616,858"
A005490,POSCO홀딩스,12,2014,Annual,0.55,,"29,218,854,280","3,157,266,492",,"29,218,854,280","4,383,568,157",2.65,0.69,60.57,"52,597,323,083","24,955,648,906"
A005490,POSCO홀딩스,12,2015,Annual,0.49,,"25,607,220,942","2,740,103,698",,"25,607,220,942","3,427,010,713",2.78,0.60,53.08,"51,309,408,699","21,473,390,265"
A005490,POSCO홀딩스,12,2016,Annual,0.47,,"24,324,933,260","3,216,208,674",,"24,324,933,260","3,995,290,986",3.04,0.56,50.42,"52,055,752,946","19,903,596,072"
A005490,POSCO홀딩스,12,2017,Annual,0.54,,"28,553,814,576","3,867,713,806",,"28,553,814,576","4,543,532,624",3.69,0.63,59.19,"53,692,257,510","23,832,803,363"
A005490,POSCO홀딩스,12,2018,Annual,0.57,,"30,659,425,434","3,968,372,400",,"30,659,425,434","5,288,008,733",3.69,0.67,63.56,"54,125,979,686","25,728,293,176"
A005490,POSCO홀딩스,12,2019,Annual,0.55,,"30,373,510,739","3,987,041,327",,"30,373,510,739","4,988,529,839",3.21,0.67,62.96,"55,710,766,417","26,700,873,690"
A005490,POSCO홀딩스,12,2020,Annual,0.47,,"26,509,920,446","3,693,535,161",,"26,509,920,446","4,093,829,396",2.43,0.58,54.95,"56,794,968,502","24,323,352,080"
A005490,POSCO홀딩스,12,2021,Annual,0.66,,"39,920,200,837","6,017,507,731",,"39,920,200,837","7,623,202,043",2.97,0.85,82.75,"64,242,758,956","32,136,438,491"
A005490,POSCO홀딩스,12,2022,Annual,0.15,,"8,589,818,953","128,990,993",,"8,589,818,953",0,0.90,0.18,17.81,"51,149,119,209","6,463,245,690"
A035420,NAVER,12,2011,Annual,0.78,,"1,435,148,217","177,218,456",,"1,435,148,217",0,3.77,0.98,59.64,"1,984,793,152",0
