Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),현금비율,현금및현금성자산(천원),유동부채(천원),매출액(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),단기금융상품(천원)
A068760,셀트리온제약,12,2012,Annual,111.29,,"140,615,320","108,892,592",,"56,243,233",,"2,989,439","108,892,592","44,707,596","108,892,592",34.80,11.33,3.89,52.67,"252,078"
A068760,셀트리온제약,12,2013,Annual,115.03,,"137,318,114","26,254,164",,"57,188,805",,"10,071,947","26,254,164","50,083,248","26,254,164",40.24,11.70,4.21,53.49,0
A068760,셀트리온제약,12,2014,Annual,93.00,,"145,086,494","113,680,749",,"69,160,971",,"2,546,271","113,680,749","64,708,354","113,680,749",47.37,12.87,24.92,48.19,0
A068760,셀트리온제약,12,2015,Annual,121.87,,"148,356,094","114,215,373",,"74,613,839",,"8,958,476","114,215,373","72,578,429","114,215,373",51.70,7.91,77.85,54.93,"715,000"
A068760,셀트리온제약,12,2016,Annual,60.53,,"170,197,577","73,494,286",,"104,325,828",,"8,840,227","73,494,286","101,569,415","73,494,286",47.41,7.96,-7.83,37.71,"315,000"
A068760,셀트리온제약,12,2017,Annual,60.66,,"208,718,980","124,811,644",,"143,476,319",,"3,872,324","124,811,644","129,529,518","124,811,644",42.48,7.36,-12.62,37.76,"315,000"
A068760,셀트리온제약,12,2018,Annual,68.05,,"196,812,321","144,720,319",,"154,794,901",,"6,641,138","144,720,319","139,470,824","144,720,319",43.36,6.78,-26.17,40.49,0
A068760,셀트리온제약,12,2019,Annual,68.19,,"188,813,980","149,138,502",,"155,712,133",,"10,722,636","149,138,502","172,682,727","149,138,502",45.86,7.72,30.84,40.54,"2,567,744"
A068760,셀트리온제약,12,2020,Annual,82.35,,"230,954,115","184,926,886",,"175,940,215",,"25,747,837","184,926,886","233,568,478","184,926,886",45.10,6.94,5.21,45.16,"4,000,000"
A068760,셀트리온제약,12,2021,Annual,92.15,,"331,139,865","259,914,245",,"267,252,958",,"80,186,076","259,914,245","398,738,209","259,914,245",37.78,6.18,44.25,47.96,"7,975,000"
