Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A039030,이오테크닉스,12,2021,Annual,0.77,,"356,417,614","114,678,246",,"356,417,614","108,624,497",4.65,0.92,57.86,"497,109,625","248,737,977"
A039030,이오테크닉스,12,2022,Annual,0.78,,"409,143,031","97,266,825",,"409,143,031","120,385,183",5.08,0.92,66.42,"553,484,551","283,865,616"
A214150,클래시스,12,2011,Annual,,,,,,,,,,,,
A214150,클래시스,12,2012,Annual,,,"7,535,093","989,573",,"7,535,093","131,129",,,,"1,298,158","3,145,919"
A214150,클래시스,12,2013,Annual,,,,,,,,,,,,
A214150,클래시스,12,2014,Annual,,,,,,,,,,,,
A214150,클래시스,12,2015,Annual,,,"14,996,489","499,337",,"14,996,489","1,668,294",,,,"12,482,021","3,705,672"
A214150,클래시스,12,2016,Annual,1.58,,"27,243,309","1,608,834",,"27,243,309","3,992,377",6.09,2.13,9.73,"22,040,036","8,649,287"
A214150,클래시스,12,2017,Annual,0.81,,"34,629,233",0,,"34,629,233","4,939,855",2.05,1.35,6.00,"63,139,777","10,739,812"
A214150,클래시스,12,2018,Annual,0.68,,"46,944,935","2,136,049",,"46,944,935","5,883,311",1.78,1.09,7.67,"75,670,335","12,602,736"
A214150,클래시스,12,2019,Annual,0.85,,"80,095,778","2,526,357",,"80,095,778","8,680,200",3.18,1.15,12.68,"113,571,284","17,128,456"
A214150,클래시스,12,2020,Annual,0.60,,"75,857,104","3,037,117",,"75,857,104","9,916,141",3.85,0.72,11.75,"137,299,888","15,482,373"
A214150,클래시스,12,2021,Annual,0.57,,"100,343,763","1,751,176",,"100,343,763","16,441,948",3.03,0.70,15.51,"216,131,572","22,709,952"
A214150,클래시스,12,2022,Annual,0.52,,"141,442,784","6,892,802",,"141,442,784","23,374,966",1.83,0.72,21.85,"331,116,660","33,601,030"
A145020,휴젤,12,2011,Annual,1.01,,"12,789,795","5,305,384",,"12,789,795","1,441,691",2.05,2.00,13.31,"16,256,770","2,842,909"
A145020,휴젤,12,2012,Annual,0.77,,"15,675,431","9,232,613",,"15,675,431","1,220,699",2.97,1.03,15.14,"24,646,971","4,920,491"
A145020,휴젤,12,2013,Annual,0.37,,"18,558,281","11,196,722",,"18,558,281","792,443",0.69,0.79,16.79,"75,994,182","5,976,469"
A145020,휴젤,12,2014,Annual,0.28,,"23,268,542","13,149,357",,"23,268,542","829,546",0.47,0.71,20.91,"89,282,315","5,385,495"
A145020,휴젤,12,2015,Annual,0.19,,"23,859,148","8,224,978",,"23,859,148","1,014,914",0.79,0.25,17.28,"158,610,832","5,705,794"
A145020,휴젤,12,2016,Annual,0.31,,"51,911,755","18,230,198",,"51,911,755","5,128,626",5.57,0.33,31.61,"176,133,784","10,829,771"
A145020,휴젤,12,2017,Annual,0.22,,"94,364,854","25,686,691",,"94,364,854","6,352,555",1.98,0.24,49.72,"689,741,328","16,977,209"
A145020,휴젤,12,2018,Annual,0.21,,"161,552,140","53,949,136",,"161,552,140","22,977,882",1.12,0.26,74.57,"860,712,808","57,311,587"
A145020,휴젤,12,2019,Annual,0.21,,"177,690,744","36,254,029",,"177,690,744","28,597,239",0.87,0.27,80.97,"848,026,074","68,546,999"
A145020,휴젤,12,2020,Annual,0.21,,"183,751,299","26,246,405",,"183,751,299","22,094,283",0.92,0.28,42.76,"864,022,077","70,647,792"
A145020,휴젤,12,2021,Annual,0.22,,"187,842,523","27,428,483",,"187,842,523","23,188,816",1.04,0.28,29.63,"848,964,006","60,880,143"
