Symbol,Name,결산월,회계년,주기,매출채권(천원),매출액(천원),매출원가(천원),유동자산(천원),유형자산(천원),총자산(천원),재고자산(천원),당기순이익(천원),판매비와관리비(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A036420,콘텐트리중앙,12,2017,Annual,"5,697,967","34,806,606","30,513,411","55,998,486","966,094","377,322,282","295,000","2,407,402","2,478,807","117,272,498","17,302,485","-16,609,091","1,814,388","6,176,136"
A036420,콘텐트리중앙,12,2018,Annual,"13,990,193","69,870,676","61,661,056","153,848,716","852,054","479,646,071",0,"2,318,615","3,189,832","59,605,962","19,934,939","-8,641,109","5,019,788","21,230,306"
A036420,콘텐트리중앙,12,2019,Annual,"12,238,649","73,377,032","83,402,386","113,953,174","775,827","453,070,601",0,"940,542","3,930,741","28,973,416","20,794,564","-33,685,985","-13,956,095","32,543,700"
A036420,콘텐트리중앙,12,2020,Annual,"52,138","28,670,268","22,714,931","82,858,534","726,933","621,795,897",0,"-35,140,996","4,404,201","108,151,443","61,083,520","24,738,444","1,551,136","10,849,094"
A036420,콘텐트리중앙,12,2021,Annual,"2,874,909","13,556,692","8,581,391","171,482,535","2,810,796","566,080,690",0,"-219,928,690","6,430,396","54,736,931","175,257,850","-2,387,462","-1,455,095","1,076,665"
A036420,콘텐트리중앙,12,2022,Annual,"4,340,205","28,961,339","21,153,327","87,886,885","4,404,407","873,258,286",0,"168,827,440","9,673,971","111,035,331","214,600,531","10,060,874","-1,865,959","1,953,736"
A001510,SK증권,3,2011,Annual,,"229,090,337",,,"8,139,002","4,127,024,843",,"-6,353,932","202,096,217",,,"-468,457,520","26,994,121","12,068,885"
A001510,SK증권,3,2012,Annual,,"176,526,321",,,"7,294,720","4,118,408,486",,"-9,097,021","186,711,717",,,"-166,486,561","-10,185,395","11,852,266"
A001510,SK증권,12,2013,Annual,,"91,657,975",,,"6,180,225","4,234,209,745",,"-43,430,284","147,785,374",,,"-41,941,163","-56,127,399","7,933,279"
A001510,SK증권,12,2014,Annual,,"172,027,804",,,"5,125,577","3,683,560,689",,"3,356,008","161,050,347",,,"307,572,569","10,977,457","9,122,137"
A001510,SK증권,12,2015,Annual,,"204,528,902",,,"4,912,670","3,503,683,239",,"17,862,916","180,329,147",,,"-41,807,479","24,199,755","4,822,468"
A001510,SK증권,12,2016,Annual,,"180,118,917",,,"4,676,853","3,789,215,415",,"8,015,323","161,869,523",,,"35,887,291","18,249,395","3,151,637"
A001510,SK증권,12,2017,Annual,,"207,755,095",,,"18,189,054","3,523,584,360",,"16,399,397","177,164,548",,,"112,132,115","30,590,547","4,709,063"
A001510,SK증권,12,2018,Annual,,"209,858,996",,,"18,817,732","3,529,892,646",,"10,552,646","194,037,423",,,"-251,000,366","15,821,573","6,630,455"
A001510,SK증권,12,2019,Annual,,"246,776,308",,,"15,492,837","3,906,538,507",,"33,142,325","204,526,968",,,"-225,894,561","42,249,340","13,546,528"
A001510,SK증권,12,2020,Annual,,"225,050,298",,,"16,884,657","5,069,012,433",,"9,256,441","214,697,830",,,"-364,881,058","10,352,468","15,531,627"
A001510,SK증권,12,2021,Annual,,"306,920,606",,,"19,749,011","5,535,941,991",,"27,510,114","266,463,077",,,"-336,504,387","40,457,529","16,849,628"
A001510,SK증권,12,2022,Annual,,"242,275,332",,,"23,739,114","5,612,706,908",,"4,440,548","230,226,419",,,"315,240,177","12,048,913","19,123,748"
A084680,이월드,12,2011,Annual,"2,221,874","16,899,814","14,706,501","12,521,716","166,994,326","182,119,768","93,789","-6,463,271","4,530,333","40,594,200","40,268,112","-5,769,598","-2,337,020","2,564,935"
A084680,이월드,12,2012,Annual,"2,142,234","17,774,315","15,687,724","19,221,603","164,820,002","186,538,344","137,396","-6,792,503","4,439,424","67,107,248","25,171,968","-2,829,202","-2,352,832","2,879,187"
A084680,이월드,12,2013,Annual,"2,945,363","19,824,592","18,381,348","9,071,035","192,863,581","204,443,013","299,407","-18,080,580","5,515,457","101,451,656","36,471,410","-2,458,924","-4,072,212","5,349,865"
A084680,이월드,12,2014,Annual,"349,558","21,869,857","20,495,983","6,504,166","170,127,126","177,530,827","236,088","3,967,999","4,947,361","61,963,042","23,087,676","-5,445,591","-3,573,488","6,603,913"
A084680,이월드,12,2015,Annual,"994,759","24,275,543","19,584,159","16,015,110","201,912,561","218,042,328","261,382","-2,436,193","4,177,069","61,413,804","30,289,863","2,093,110","514,315","4,574,357"
A084680,이월드,12,2016,Annual,"1,714,183","29,681,289","21,445,341","19,059,847","201,063,033","220,225,975","314,921","2,076,548","3,956,254","61,162,036","31,021,533","6,183,446","4,279,695","4,346,826"
