Symbol,Name,결산월,회계년,주기,총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원)
A267250,HD현대,12,2011,Annual,,,,,,,,
A267250,HD현대,12,2012,Annual,,,,,,,,
A267250,HD현대,12,2013,Annual,,,,,,,,
A267250,HD현대,12,2014,Annual,,,,,,,,
A267250,HD현대,12,2015,Annual,,,,,,,,
A267250,HD현대,12,2016,Annual,,,,,,,,
A267250,HD현대,12,2017,Annual,,,,,"14,299,511,713","2,914,995,452","12,890,410,497","3,301,983,453"
A267250,HD현대,12,2018,Annual,1.23,2.31,2.64,334.71,"27,256,649,937","2,259,094,715","25,360,420,611","4,329,882,609"
A267250,HD현대,12,2019,Annual,1.09,2.00,2.37,327.02,"26,630,333,352","2,139,711,832","24,800,633,574","3,876,745,323"
A267250,HD현대,12,2020,Annual,0.72,1.29,1.65,232.23,"18,910,981,519","1,693,596,000","18,341,294,237","3,021,898,860"
A267250,HD현대,12,2021,Annual,0.91,1.44,2.47,348.18,"28,353,671,478","2,981,772,416","25,736,296,657","6,031,871,903"
A267250,HD현대,12,2022,Annual,1.20,1.84,3.47,747.24,"60,849,668,073","3,778,605,000","54,883,097,648","9,470,742,395"
A241560,두산밥캣,12,2011,Annual,,,,,,,,
A241560,두산밥캣,12,2012,Annual,,,,,,,,
A241560,두산밥캣,12,2013,Annual,,,,,,,,
A241560,두산밥캣,12,2014,Annual,,,,,"2,930,345,128","351,513,751","2,340,586,198","800,886,393"
A241560,두산밥캣,12,2015,Annual,0.64,1.25,1.31,"75,756.77","4,040,752,214","379,203,505","3,182,600,263","784,978,145"
A241560,두산밥캣,12,2016,Annual,0.52,1.06,1.02,126.10,"3,287,285,077","399,976,268","2,479,393,659","700,791,131"
A241560,두산밥캣,12,2017,Annual,0.54,1.18,1.00,68.99,"3,389,208,791","242,948,587","2,580,989,142","523,964,139"
A241560,두산밥캣,12,2018,Annual,0.63,1.45,1.11,84.16,"3,970,765,995","268,861,816","3,089,424,091","618,518,757"
A241560,두산밥캣,12,2019,Annual,0.69,1.66,1.17,91.96,"4,509,550,099","281,007,407","3,529,417,201","808,951,866"
A241560,두산밥캣,12,2020,Annual,0.63,1.53,1.06,88.49,"4,282,057,647","238,824,609","3,392,209,379","659,789,078"
A241560,두산밥캣,12,2021,Annual,0.75,1.63,1.39,118.72,"5,816,199,969","385,619,065","4,582,555,180","1,153,302,889"
A241560,두산밥캣,12,2022,Annual,0.97,2.03,1.85,163.13,"8,621,911,872","595,208,714","6,673,395,662","1,651,032,808"
A011790,SKC,12,2011,Annual,0.82,1.31,2.21,13.66,"2,473,525,635","377,357,181","2,000,245,625","300,485,472"
A011790,SKC,12,2012,Annual,0.79,1.21,2.25,14.52,"2,629,170,921","320,141,921","2,207,847,128","344,281,857"
A011790,SKC,12,2013,Annual,0.75,1.13,2.20,14.59,"2,641,403,172","381,609,583","2,231,552,661","324,533,616"
A011790,SKC,12,2014,Annual,0.77,1.18,2.24,15.45,"2,802,235,022","298,797,181","2,361,291,547","325,590,805"
A011790,SKC,12,2015,Annual,0.67,1.09,1.73,13.48,"2,465,721,172","388,610,173","1,972,627,140","283,755,028"
A011790,SKC,12,2016,Annual,0.65,1.14,1.53,12.70,"2,359,440,144","373,652,474","1,949,486,064","253,488,994"
A011790,SKC,12,2017,Annual,0.74,1.30,1.70,14.14,"2,653,544,415","363,068,968","2,227,350,358","299,316,350"
A011790,SKC,12,2018,Annual,0.74,1.31,1.68,14.75,"2,767,834,347","338,638,598","2,289,106,109","353,201,995"
A011790,SKC,12,2019,Annual,0.60,1.08,1.38,12.58,"2,361,068,172","372,574,482","1,962,078,106","385,658,113"
A011790,SKC,12,2020,Annual,0.53,0.86,1.35,13.08,"2,465,850,081","398,637,901","1,974,234,325","336,793,144"
A011790,SKC,12,2021,Annual,0.39,0.61,1.08,11.96,"2,264,207,086","471,114,668","1,669,725,571","515,479,242"
A011790,SKC,12,2022,Annual,0.38,0.59,1.06,12.61,"2,386,650,004","388,081,444","2,010,318,577","553,271,368"
A034220,LG디스플레이,12,2011,Annual,0.99,1.75,2.29,13.58,"24,291,289,000","2,740,107,000","23,081,322,000","2,317,370,000"
A034220,LG디스플레이,12,2012,Annual,1.19,2.01,2.89,16.45,"29,429,668,000","3,334,341,000","26,424,756,000","2,390,007,000"
A034220,LG디스플레이,12,2013,Annual,1.17,2.15,2.57,15.11,"27,033,035,000","3,128,626,000","23,524,851,000","1,933,241,000"
A034220,LG디스플레이,12,2014,Annual,1.18,2.39,2.34,14.79,"26,455,529,000","3,444,477,000","22,667,134,000","2,754,098,000"
A034220,LG디스플레이,12,2015,Annual,1.25,2.70,2.32,15.87,"28,383,884,000","4,097,836,000","24,069,572,000","2,351,669,000"
A034220,LG디스플레이,12,2016,Annual,1.12,2.49,2.03,14.81,"26,504,074,000","4,957,993,000","22,754,270,000","2,287,785,000"
A034220,LG디스플레이,12,2017,Annual,1.03,2.17,1.95,15.53,"27,790,216,000","4,325,120,000","22,424,661,000","2,350,084,000"
A034220,LG디스플레이,12,2018,Annual,0.78,1.50,1.63,13.60,"24,336,571,000","2,829,163,000","21,251,305,000","2,691,203,000"
A034220,LG디스플레이,12,2019,Annual,0.68,1.13,1.72,13.12,"23,475,567,000","3,154,080,000","21,607,240,000","2,051,155,000"
A034220,LG디스플레이,12,2020,Annual,0.69,1.07,1.92,13.56,"24,261,561,000","3,517,512,000","21,626,339,000","2,170,656,000"
A034220,LG디스플레이,12,2021,Annual,0.82,1.31,2.17,16.70,"29,878,043,000","4,574,789,000","24,572,939,000","3,350,375,000"
A034220,LG디스플레이,12,2022,Annual,0.71,1.10,2.01,14.62,"26,151,781,000","2,358,914,000","25,027,703,000","2,872,918,000"
A028050,삼성E&A,12,2011,Annual,2.13,2.88,8.19,46.49,"9,298,184,260","1,033,256,645","8,219,469,410",0
A028050,삼성E&A,12,2012,Annual,2.11,2.91,7.62,57.20,"11,440,156,745","967,801,901","10,149,548,239",0
A028050,삼성E&A,12,2013,Annual,1.69,2.18,7.56,49.03,"9,806,322,604","1,081,282,819","10,353,331,188",0
A028050,삼성E&A,12,2014,Annual,1.48,1.74,9.59,44.56,"8,911,451,188","985,268,089","8,365,490,433",0
A028050,삼성E&A,12,2015,Annual,1.09,1.16,20.45,32.21,"6,441,250,861","736,242,798","7,530,302,891",0
A028050,삼성E&A,12,2016,Annual,1.26,1.34,21.13,11.88,"7,010,541,653","942,085,420","6,527,491,653",0
A028050,삼성E&A,12,2017,Annual,1.04,1.28,5.62,5.63,"5,513,446,636","1,311,634,318","5,177,200,864",0
A028050,삼성E&A,12,2018,Annual,1.13,1.42,5.54,5.58,"5,466,957,803","1,383,112,329","4,928,694,228",0
A028050,삼성E&A,12,2019,Annual,1.39,1.85,5.58,6.52,"6,392,058,453","1,214,759,547","5,592,595,280",0
A028050,삼성E&A,12,2020,Annual,1.45,2.09,4.69,6.89,"6,749,174,145","1,126,114,536","6,076,895,399",0
A028050,삼성E&A,12,2021,Annual,1.38,2.06,4.23,7.64,"7,486,696,121","1,798,880,828","6,625,376,323",0
A028050,삼성E&A,12,2022,Annual,1.45,2.15,4.43,10.26,"10,054,344,625","2,130,581,188","8,973,419,012",0
A251270,넷마블,12,2011,Annual,,,,,"7,556,038","12,317,463","3,837,697",0
A251270,넷마블,12,2012,Annual,0.59,1.69,0.91,89.75,"67,310,099","10,951,668","34,689,248","6,359"
A251270,넷마블,12,2013,Annual,0.84,1.67,1.68,133.32,"133,316,530","24,417,326","60,178,078","6,627"
A251270,넷마블,12,2014,Annual,0.76,2.70,1.05,309.14,"362,381,024","93,336,533","194,297,864","4,662"
A251270,넷마블,12,2015,Annual,0.96,4.98,1.20,756.92,"1,072,920,876","124,350,481","588,448,905","296,646"
