Symbol,Name,결산월,회계년,주기,총부채(천원)
A011450,송원칼라,12,2017,Annual,
A011450,송원칼라,12,2018,Annual,
A011450,송원칼라,12,2019,Annual,
A011450,송원칼라,12,2020,Annual,
A011450,송원칼라,12,2021,Annual,
A011450,송원칼라,12,2022,Annual,
A011470,기산,12,2011,Annual,
A011470,기산,12,2012,Annual,
A011470,기산,12,2013,Annual,
A011470,기산,12,2014,Annual,
A011470,기산,12,2015,Annual,
A011470,기산,12,2016,Annual,
A011470,기산,12,2017,Annual,
A011470,기산,12,2018,Annual,
A011470,기산,12,2019,Annual,
A011470,기산,12,2020,Annual,
A011470,기산,12,2021,Annual,
A011470,기산,12,2022,Annual,
A011510,청구,12,2011,Annual,
A011510,청구,12,2012,Annual,
A011510,청구,12,2013,Annual,
A011510,청구,12,2014,Annual,
A011510,청구,12,2015,Annual,
A011510,청구,12,2016,Annual,
A011510,청구,12,2017,Annual,
A011510,청구,12,2018,Annual,
A011510,청구,12,2019,Annual,
A011510,청구,12,2020,Annual,
A011510,청구,12,2021,Annual,
A011510,청구,12,2022,Annual,
A011540,삼신,12,2011,Annual,
A011540,삼신,12,2012,Annual,
A011540,삼신,12,2013,Annual,
A011540,삼신,12,2014,Annual,
A011540,삼신,12,2015,Annual,
A011540,삼신,12,2016,Annual,
A011540,삼신,12,2017,Annual,
A011540,삼신,12,2018,Annual,
A011540,삼신,12,2019,Annual,
A011540,삼신,12,2020,Annual,
A011540,삼신,12,2021,Annual,
A011540,삼신,12,2022,Annual,
A011650,LG정보,12,2011,Annual,
A011650,LG정보,12,2012,Annual,
A011650,LG정보,12,2013,Annual,
A011650,LG정보,12,2014,Annual,
A011650,LG정보,12,2015,Annual,
A011650,LG정보,12,2016,Annual,
A011650,LG정보,12,2017,Annual,
A011650,LG정보,12,2018,Annual,
A011650,LG정보,12,2019,Annual,
A011650,LG정보,12,2020,Annual,
A011650,LG정보,12,2021,Annual,
A011650,LG정보,12,2022,Annual,
A011720,현대페인트,12,2011,Annual,"55,269,416"
A011720,현대페인트,12,2012,Annual,"75,833,352"
A011720,현대페인트,12,2013,Annual,"81,026,138"
A011720,현대페인트,12,2014,Annual,"35,552,376"
A011720,현대페인트,12,2015,Annual,"29,013,350"
A011720,현대페인트,12,2016,Annual,
A011720,현대페인트,12,2017,Annual,
