Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원)
A035420,NAVER,12,2019,Annual,12.98,2.78,73.49,47.12,89.11,30.41,"1,155,025,444","34,886,841","5,643,714,460","3,773,118,831","5,588,599,728"
A035420,NAVER,12,2020,Annual,9.9,0.62,77.09,51.48,106.1,9.41,"1,215,342,457","43,446,293","10,544,659,200","7,911,751,492","10,540,314,258"
A035420,NAVER,12,2021,Annual,6.27,2.77,80.56,28.68,40.22,8.26,"1,325,478,171","51,716,490","5,527,878,426","3,923,319,147","5,521,738,521"
A035420,NAVER,12,2022,Annual,7.25,4.37,84.13,30.82,44.56,8.04,"1,304,664,411","71,692,137","6,439,570,711","5,480,633,711","6,430,918,872"
A006400,삼성SDI,12,2011,Annual,21.43,1.65,10.53,25.95,35.04,8.89,"109,967,972","20,025,420","2,364,109,017","1,749,982,867","1,780,522,283"
A006400,삼성SDI,12,2012,Annual,18.09,1.57,12.49,30.57,44.03,8.69,"186,874,229","24,452,614","2,414,856,331","2,004,041,265","1,856,404,559"
A006400,삼성SDI,12,2013,Annual,16.94,1.58,18.31,28.55,39.95,6.92,"-11,317,092","32,815,517","2,063,191,571","1,526,957,190","1,537,416,491"
A006400,삼성SDI,12,2014,Annual,20.82,8.01,15.67,25.94,35.02,3.93,"70,817,509","46,074,766","3,535,554,753","2,254,255,230","2,767,001,001"
A006400,삼성SDI,12,2015,Annual,19.9,7.87,22.35,30.64,44.18,7.94,"-267,493,895","46,818,157","4,773,880,158","3,201,335,107","4,023,929,957"
A006400,삼성SDI,12,2016,Annual,16.8,6.32,32.24,26.42,35.9,6.79,"-926,332,634","35,325,364","3,958,265,727","2,212,795,893","3,229,207,153"
A006400,삼성SDI,12,2017,Annual,18.62,5.7,16.53,27.25,37.46,7.68,"116,894,787","22,777,478","3,584,576,078","2,664,061,476","2,618,004,433"
A006400,삼성SDI,12,2018,Annual,23.82,4.48,14.47,36.82,58.28,7.84,"714,970,606","51,759,500","5,519,342,210","4,012,822,498","3,773,691,376"
A006400,삼성SDI,12,2019,Annual,27.34,4.19,17.36,36.23,56.81,5.82,"462,176,462","82,174,764","5,181,414,897","3,741,522,650","3,473,494,368"
A006400,삼성SDI,12,2020,Annual,28.46,3.69,15.13,37.96,61.2,7.18,"671,335,358","68,958,897","5,657,405,165","4,983,633,141","3,846,619,905"
A006400,삼성SDI,12,2021,Annual,29.56,3.09,14.83,41.17,69.99,9,"1,067,575,601","57,204,723","7,444,907,068","6,461,285,795","4,957,590,750"
A006400,삼성SDI,12,2022,Annual,29.63,2.69,11.99,43.1,75.74,8.64,"1,808,013,013","90,058,982","9,651,702,375","8,006,938,827","6,447,186,541"
A105560,KB금융,12,2011,Annual,1.15,0.17,14.85,91.68,"1,101.75",0.94,"3,398,334,000","84,470,000",,,
A105560,KB금융,12,2012,Annual,1.08,0.17,15.14,91.33,"1,053.94",1,"2,432,198,000","229,691,000",,,
A105560,KB금융,12,2013,Annual,1.05,0.15,17.63,91.11,"1,024.49",0.92,"2,026,992,000","314,866,000",,,
A105560,KB금융,12,2014,Annual,1,0.16,18.7,91.08,"1,020.78",0.83,"1,959,123,000","360,500,000",,,
A105560,KB금융,12,2015,Annual,1,0.14,20.35,91.22,"1,038.53",0.75,"1,821,134,000","431,157,000",,,
A105560,KB금융,12,2016,Annual,0.97,0.17,20.62,91.68,"1,101.72",0.68,"1,676,948,000","421,679,000",,,
A105560,KB금융,12,2017,Annual,0.96,0.67,14.35,92.21,"1,182.97",0.59,"4,015,274,000","363,803,000",,,
A105560,KB금융,12,2018,Annual,0.89,0.57,14.08,92.55,"1,242.89",0.64,"4,267,481,000","277,152,000",,,
A105560,KB금융,12,2019,Annual,0.98,0.53,13.29,92.46,"1,225.53",0.52,"4,490,649,000","313,550,000",,,
A105560,KB금융,12,2020,Annual,0.89,0.55,12.24,92.89,"1,307.11",0.47,"4,634,332,000","458,210,000",,,
A105560,KB금융,12,2021,Annual,0.79,0.49,12.22,92.73,"1,274.70",0.4,"6,097,617,000","256,736,000",,,
A105560,KB금융,12,2022,Annual,0.72,0.27,8,92.14,"1,172.76",0.37,"5,289,175,000",0,,,
A051910,LG화학,12,2011,Annual,48.25,1.36,5.57,36.49,57.46,9.02,"2,818,758,000",0,"7,256,212,000","4,723,904,000","4,780,979,000"
A051910,LG화학,12,2012,Annual,50.35,1.41,6.01,35.07,54.02,4.35,"1,910,323,000",0,"7,452,938,000","4,338,012,000","4,825,008,000"
A051910,LG화학,12,2013,Annual,49.06,1.51,6.77,32.79,48.79,8.02,"1,743,044,000",0,"8,031,617,000","4,597,877,000","5,467,586,000"
A051910,LG화학,12,2014,Annual,47.99,2.9,7.5,32.34,47.79,5.45,"1,310,761,000",0,"8,146,821,000","4,809,049,000","5,435,633,000"
A051910,LG화학,12,2015,Annual,47.73,2.7,9.12,29.47,41.78,9.18,"1,823,568,000",0,"8,655,605,000","4,798,981,000","6,317,052,000"
A051910,LG화학,12,2016,Annual,47.25,4.06,10.03,31.42,45.81,7.2,"1,991,920,000",0,"9,226,934,000","5,446,851,000","6,261,743,000"
A051910,LG화학,12,2017,Annual,44.77,7.28,10.25,34.75,53.26,8.98,"2,928,457,000",0,"11,205,581,000","6,644,689,000","7,853,127,000"
A051910,LG화학,12,2018,Annual,47.81,6.93,11,40.15,67.09,8.68,"2,246,070,000",0,"12,088,512,000","7,273,534,000","7,799,049,000"
A051910,LG화학,12,2019,Annual,54.65,6.48,14.11,48.91,95.73,5.55,"825,415,000",0,"11,869,724,000","8,941,529,000","6,836,003,000"
A051910,LG화학,12,2020,Annual,49.69,5.51,15.01,54.6,120.27,7.91,"1,805,359,000",0,"16,319,700,000","12,624,219,000","10,970,012,000"
A051910,LG화학,12,2021,Annual,47.67,4.78,14.53,54.61,120.32,7.35,"5,026,370,000",0,"20,413,820,000","15,062,096,000","12,130,346,000"
A051910,LG화학,12,2022,Annual,43.64,3.96,13.5,44.86,81.35,12.5,"2,979,354,000",0,"29,674,369,000","16,459,563,000","17,793,738,000"
A028260,삼성물산,12,2011,Annual,27.46,0.51,10.96,36.12,56.53,4.08,"221,139,889","6,084,582","909,429,305","540,002,011","848,673,482"
A028260,삼성물산,12,2012,Annual,26.26,2.4,13.5,42.71,74.56,0.52,"69,245,311",0,"729,405,525","1,063,262,675","687,964,738"
A028260,삼성물산,12,2013,Annual,24.76,2.78,14.65,53.83,116.6,1.77,"111,092,837","44,439,112","1,752,938,404","1,840,784,978","1,301,081,600"
A028260,삼성물산,12,2014,Annual,22.41,2.89,27.67,44.43,79.96,3.2,"213,411,368","65,322,105","1,980,098,794","1,265,544,425","1,444,559,765"
A028260,삼성물산,12,2015,Annual,12.12,4.34,15.8,56.77,131.31,4.88,"37,138,349","100,584,707","12,541,131,642","15,074,383,089","11,155,086,149"
