Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A055550,신한지주,12,2016,Annual,"31,744,980,000","363,935,344,000"
A055550,신한지주,12,2017,Annual,"33,703,618,000","392,603,390,000"
A055550,신한지주,12,2018,Annual,"36,651,430,000","422,949,080,000"
A055550,신한지주,12,2019,Annual,"41,930,381,000","510,489,200,000"
A055550,신한지주,12,2020,Annual,"46,356,858,000","558,877,246,000"
A055550,신한지주,12,2021,Annual,"49,538,422,000","598,613,763,000"
A055550,신한지주,12,2022,Annual,"53,423,558,000","611,009,672,000"
A035720,카카오,12,2011,Annual,"456,249,146","102,482,517"
A035720,카카오,12,2012,Annual,"519,927,883","91,941,511"
A035720,카카오,12,2013,Annual,"177,256,626","39,943,793"
A035720,카카오,12,2014,Annual,"2,463,228,067","304,796,832"
A035720,카카오,12,2015,Annual,"2,585,474,996","603,002,738"
A035720,카카오,12,2016,Annual,"3,702,943,851","1,781,173,329"
A035720,카카오,12,2017,Annual,"4,462,922,772","1,886,505,683"
A035720,카카오,12,2018,Annual,"5,627,157,564","2,332,384,541"
A035720,카카오,12,2019,Annual,"5,728,528,965","3,008,840,079"
A035720,카카오,12,2020,Annual,"7,411,759,473","4,542,386,717"
A035720,카카오,12,2021,Annual,"13,568,333,646","9,216,225,463"
A035720,카카오,12,2022,Annual,"13,515,717,385","9,447,826,639"
A003670,포스코퓨처엠,12,2011,Annual,"328,947,224","163,547,982"
A003670,포스코퓨처엠,12,2012,Annual,"398,251,922","142,137,756"
A003670,포스코퓨처엠,12,2013,Annual,"452,410,639","177,995,691"
A003670,포스코퓨처엠,12,2014,Annual,"514,814,528","206,785,398"
A003670,포스코퓨처엠,12,2015,Annual,"538,224,659","179,281,052"
A003670,포스코퓨처엠,12,2016,Annual,"569,399,656","154,463,438"
A003670,포스코퓨처엠,12,2017,Annual,"652,189,727","183,650,482"
A003670,포스코퓨처엠,12,2018,Annual,"758,131,714","189,497,465"
