Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A000270,기아,12,2020,Annual,1.720149753,59168096000,34397061000
A000270,기아,12,2021,Annual,1.855844546,69862366000,37644514000
A000270,기아,12,2022,Annual,2.18783306,86559029000,39563818000
A068270,셀트리온,12,2011,Annual,0.247691741,279041704,1126568464
A068270,셀트리온,12,2012,Annual,0.303019385,350196210,1155689132
A068270,셀트리온,12,2013,Annual,0.158522312,226207869,1426978113
A068270,셀트리온,12,2014,Annual,0.308003994,471045511,1529348710
A068270,셀트리온,12,2015,Annual,0.390342753,603412769,1545853648
A068270,셀트리온,12,2016,Annual,0.407995791,670580962,1643597744
A068270,셀트리온,12,2017,Annual,0.564907636,949079965,1680062198
A068270,셀트리온,12,2018,Annual,0.5340769,982074960,1838826879
A068270,셀트리온,12,2019,Annual,0.54395911,1128459878,2074530710
A068270,셀트리온,12,2020,Annual,0.738574883,1849115532,2503626342
A068270,셀트리온,12,2021,Annual,0.728328744,1893401217,2599651919
A068270,셀트리온,12,2022,Annual,0.771126116,2283967480,2961859847
A005490,POSCO홀딩스,12,2011,Annual,1.537029266,68938725064,44851927404
A005490,POSCO홀딩스,12,2012,Annual,1.33342777,63604150874,47699734709
A005490,POSCO홀딩스,12,2013,Annual,1.171918783,61864649859,52789195619
A005490,POSCO홀딩스,12,2014,Annual,1.237030009,65098445304,52624790711
A005490,POSCO홀딩스,12,2015,Annual,1.13595088,58192344561,51227870474
A005490,POSCO홀딩스,12,2016,Annual,1.052009441,53083512926,50459160208
A005490,POSCO홀딩스,12,2017,Annual,1.266351013,60655099617,47897541023
A005490,POSCO홀딩스,12,2018,Annual,1.456990245,64977777434,44597263187
A005490,POSCO홀딩스,12,2019,Annual,1.455727099,64366847808,44216287409
A005490,POSCO홀딩스,12,2020,Annual,1.336059377,57792795733,43256158174
A005490,POSCO홀딩스,12,2021,Annual,1.701948115,76332345050,44849983601
A005490,POSCO홀딩스,12,2022,Annual,1.669714081,84750203702,50757315088
A035420,NAVER,12,2011,Annual,2.253041669,2121317926,941535150
A035420,NAVER,12,2012,Annual,1.513545436,1798657243,1188373471
A035420,NAVER,12,2013,Annual,1.659108623,2259138612,1361658050
A035420,NAVER,12,2014,Annual,1.904140207,2758478837,1448674224
A035420,NAVER,12,2015,Annual,1.863082599,3253930352,1746530376
A035420,NAVER,12,2016,Annual,1.853146928,4022629620,2170701934
A035420,NAVER,12,2017,Annual,1.446193055,4678468928,3235023783
A035420,NAVER,12,2018,Annual,1.242743579,5586904533,4495621323
A035420,NAVER,12,2019,Annual,0.654501545,4356239667,6655812661
A035420,NAVER,12,2020,Annual,0.819859456,5304145900,6469579463
A035420,NAVER,12,2021,Annual,0.24207537,6817599707,28163128331
A035420,NAVER,12,2022,Annual,0.299353121,8220078709,27459472178
A006400,삼성SDI,12,2011,Annual,0.883273548,5443881395,6163301739
A006400,삼성SDI,12,2012,Annual,0.680545724,5771184920,8480230961
A006400,삼성SDI,12,2013,Annual,0.403705687,3428462196,8492479319
A006400,삼성SDI,12,2014,Annual,0.440297897,5474221641,12432995193
A006400,삼성SDI,12,2015,Annual,0.432685197,4954861346,11451423300
A006400,삼성SDI,12,2016,Annual,0.47530624,5200822510,10942045507
A006400,삼성SDI,12,2017,Annual,0.522048128,6346606593,12157129301
A006400,삼성SDI,12,2018,Annual,0.662185214,9158272455,13830378974
A006400,삼성SDI,12,2019,Annual,0.688272466,10097426164,14670681551
A006400,삼성SDI,12,2020,Annual,0.711399726,11294770446,15876827101
A006400,삼성SDI,12,2021,Annual,0.737057293,13553220249,18388285929
A006400,삼성SDI,12,2022,Annual,0.976620527,20124069516,20605822796
A105560,KB금융,12,2011,Annual,,13956257000,
A105560,KB금융,12,2012,Annual,,14210106000,
A105560,KB금융,12,2013,Annual,,12356930000,
A105560,KB금융,12,2014,Annual,,11635296000,
A105560,KB금융,12,2015,Annual,,10375823000,
A105560,KB금융,12,2016,Annual,,10021882000,
A105560,KB금융,12,2017,Annual,,11919057000,
A105560,KB금융,12,2018,Annual,,13734569000,
