Symbol,Name,결산월,회계년,주기,총자본(천원)
A066570,LG전자,12,2016,Annual,"13,356,742,000"
A066570,LG전자,12,2017,Annual,"14,673,684,000"
A066570,LG전자,12,2018,Annual,"16,306,907,000"
A066570,LG전자,12,2019,Annual,"16,425,138,000"
A066570,LG전자,12,2020,Annual,"17,542,125,000"
A066570,LG전자,12,2021,Annual,"20,098,033,000"
A066570,LG전자,12,2022,Annual,"22,491,997,000"
A138040,메리츠금융지주,3,2011,Annual,"1,567,320,603"
A138040,메리츠금융지주,3,2012,Annual,"2,177,368,677"
A138040,메리츠금융지주,12,2013,Annual,"2,156,567,751"
A138040,메리츠금융지주,12,2014,Annual,"2,999,672,776"
A138040,메리츠금융지주,12,2015,Annual,"3,629,338,288"
A138040,메리츠금융지주,12,2016,Annual,"3,986,593,040"
A138040,메리츠금융지주,12,2017,Annual,"4,831,917,642"
A138040,메리츠금융지주,12,2018,Annual,"5,454,636,723"
A138040,메리츠금융지주,12,2019,Annual,"5,961,867,968"
A138040,메리츠금융지주,12,2020,Annual,"6,877,309,401"
A138040,메리츠금융지주,12,2021,Annual,"6,883,289,019"
A138040,메리츠금융지주,12,2022,Annual,"8,541,970,795"
A042700,한미반도체,12,2011,Annual,"169,789,986"
A042700,한미반도체,12,2012,Annual,"183,034,689"
A042700,한미반도체,12,2013,Annual,"182,717,293"
A042700,한미반도체,12,2014,Annual,"204,953,051"
A042700,한미반도체,12,2015,Annual,"193,961,276"
A042700,한미반도체,12,2016,Annual,"209,344,806"
A042700,한미반도체,12,2017,Annual,"206,173,287"
A042700,한미반도체,12,2018,Annual,"215,557,067"
A042700,한미반도체,12,2019,Annual,"219,705,202"
A042700,한미반도체,12,2020,Annual,"257,090,543"
A042700,한미반도체,12,2021,Annual,"346,812,042"
A042700,한미반도체,12,2022,Annual,"390,096,756"
A000810,삼성화재,3,2011,Annual,"7,742,702,408"
A000810,삼성화재,3,2012,Annual,"8,969,032,884"
A000810,삼성화재,12,2013,Annual,"7,888,514,679"
A000810,삼성화재,12,2014,Annual,"9,538,804,177"
A000810,삼성화재,12,2015,Annual,"10,085,250,714"
A000810,삼성화재,12,2016,Annual,"11,008,232,367"
A000810,삼성화재,12,2017,Annual,"12,008,278,815"
A000810,삼성화재,12,2018,Annual,"12,365,530,471"
A000810,삼성화재,12,2019,Annual,"14,321,435,438"
A000810,삼성화재,12,2020,Annual,"16,282,534,740"
A000810,삼성화재,12,2021,Annual,"15,492,331,781"
A000810,삼성화재,12,2022,Annual,"12,523,472,715"
A015760,한국전력,12,2011,Annual,"53,803,950,000"
A015760,한국전력,12,2012,Annual,"51,064,202,000"
A015760,한국전력,12,2013,Annual,"51,450,736,000"
A015760,한국전력,12,2014,Annual,"54,825,010,000"
A015760,한국전력,12,2015,Annual,"67,942,475,000"
A015760,한국전력,12,2016,Annual,"73,050,545,000"
A015760,한국전력,12,2017,Annual,"72,964,641,000"
A015760,한국전력,12,2018,Annual,"71,092,762,000"
A015760,한국전력,12,2019,Annual,"68,889,649,000"
A015760,한국전력,12,2020,Annual,"70,666,846,000"
A015760,한국전력,12,2021,Annual,"65,326,706,000"
A015760,한국전력,12,2022,Annual,"42,000,256,000"
A003550,LG,12,2011,Annual,"10,960,447,000"
A003550,LG,12,2012,Annual,"11,545,400,000"
