Symbol,Name,결산월,회계년,주기,매출액(천원),매출채권(천원),매출원가(천원),유동자산(천원),재고자산(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A025820,이구산업,12,2018,Annual,"227,211,411","42,507,507","221,896,531","134,601,916","89,790,476","124,862,881","260,653,064","5,422,862","-2,631,187","136,883,191","19,062,533","-639,169","-107,981","61,582"
A025820,이구산업,12,2019,Annual,"210,304,346","33,575,002","204,977,335","139,156,702","104,316,284","122,876,946","263,335,449","4,679,474","-3,359,895","142,632,824","19,479,614","5,735,135","647,537","145,703"
A025820,이구산업,12,2020,Annual,"202,936,445","46,295,178","192,251,963","152,392,118","105,444,237","118,013,841","271,665,261","4,809,613","1,896,399","151,835,730","17,561,312","-7,250,161","5,874,869","206,228"
A025820,이구산업,12,2021,Annual,"334,356,732","52,361,976","292,199,219","210,857,272","155,912,880","111,872,233","323,941,424","6,530,083","21,053,902","182,898,861","18,332,248","-9,961,240","35,627,429","215,868"
A025820,이구산업,12,2022,Annual,"429,618,752","64,157,740","408,808,622","223,408,618","153,050,596","111,655,862","337,212,432","7,119,760","5,720,773","193,360,557","16,639,041","-1,688,619","13,690,371","260,466"
A004710,한솔테크닉스,12,2011,Annual,"968,191,932","53,314,344","939,305,963","111,793,823","39,959,977","290,211,474","486,477,959","58,145,094","-20,691,008","140,663,130","158,990,827","-7,953,038","-29,259,125",0
A004710,한솔테크닉스,12,2012,Annual,"558,799,105","37,251,561","543,829,398","90,884,982","29,385,027","243,445,735","420,136,106","52,750,246","-88,473,736","105,532,531","168,617,884","-5,871,792","-37,780,539",0
A004710,한솔테크닉스,12,2013,Annual,"510,940,158","49,133,148","465,508,916","110,615,472","35,410,933","231,272,066","422,296,680","54,280,485","-25,131,184","116,432,798","135,535,575","-12,167,434","-8,849,243",0
A004710,한솔테크닉스,12,2014,Annual,"567,791,008","62,369,753","511,008,722","118,387,385","35,314,460","219,454,501","408,384,028","48,181,455","-15,314,356","120,765,064","86,076,671","12,122,082","8,600,830",0
A004710,한솔테크닉스,12,2015,Annual,"652,333,136","74,270,195","581,297,731","149,216,922","41,373,372","287,028,567","541,196,306","54,565,606","28,574,583","142,795,941","139,977,836","42,248,749","16,469,798",0
A004710,한솔테크닉스,12,2016,Annual,"807,638,506","107,080,729","726,433,265","196,205,675","46,115,617","231,401,369","511,496,449","57,964,494","-46,221,145","256,868,411","39,402,031","27,919,541","23,240,748",0
A004710,한솔테크닉스,12,2017,Annual,"935,255,304","112,178,266","834,439,080","197,930,074","51,906,344","230,221,114","503,513,319","70,360,108","18,682,844","209,932,491","80,229,510","41,648,088","30,456,117",0
A004710,한솔테크닉스,12,2018,Annual,"841,899,162","104,523,436","751,245,738","215,957,295","72,813,886","238,297,711","513,011,860","75,093,939","-19,920,035","248,944,165","62,216,375","22,350,300","15,559,485",0
A004710,한솔테크닉스,12,2019,Annual,"972,243,352","85,766,495","855,294,130","211,271,355","38,679,199","231,992,340","495,324,316","91,482,839","6,443,824","198,610,015","34,872,037","94,751,184","25,466,383","6,823,879"
A004710,한솔테크닉스,12,2020,Annual,"1,194,892,147","113,145,101","1,043,905,137","311,128,308","66,928,548","227,773,350","591,392,385","118,526,823","26,185,818","234,267,185","78,022,230","42,005,049","32,460,188","6,441,170"
A004710,한솔테크닉스,12,2021,Annual,"1,490,620,988","177,562,123","1,387,169,506","467,995,887","153,063,524","249,899,293","788,670,353","107,707,352","-9,345,850","333,270,346","177,123,755","-56,228,149","-4,255,870","6,662,162"
A004710,한솔테크닉스,12,2022,Annual,"1,360,770,097","161,876,166","1,182,674,687","509,415,530","175,348,386","341,951,394","1,071,921,901","122,212,544","32,627,201","424,708,760","207,186,891","66,408,681","55,882,866","12,645,455"
A044450,KSS해운,12,2011,Annual,"98,396,511","3,501,984","75,784,130","22,876,242","3,690,871","247,373,685","290,211,266","8,754,628","24,134,260","47,903,137","108,644,679","9,729,989","13,857,753","240,599"
A044450,KSS해운,12,2012,Annual,"112,243,969","2,929,778","90,629,658","16,232,311","3,212,522","275,298,658","309,112,196","9,277,582","12,854,377","34,628,416","137,163,029","28,021,495","12,336,729","368,637"
A044450,KSS해운,12,2013,Annual,"118,679,752","1,706,585","90,066,921","13,493,664","3,230,458","309,738,240","339,056,173","9,567,575","26,377,627","30,427,683","147,873,559","33,999,834","19,045,256","385,298"
A044450,KSS해운,12,2014,Annual,"137,526,098","4,449,198","105,996,124","22,176,771","3,976,311","456,528,725","494,936,208","9,487,887","21,030,046","69,360,006","241,226,603","39,342,388","22,042,087","391,701"
A044450,KSS해운,12,2015,Annual,"143,480,707","3,860,350","104,219,261","33,976,652","3,210,579","510,078,622","545,679,903","9,530,820","23,149,462","87,009,583","246,540,617","53,978,607","29,730,626","374,415"
A044450,KSS해운,12,2016,Annual,"141,144,031","8,748,042","98,831,998","31,834,237","3,324,215","612,912,840","647,988,184","9,689,557","13,272,684","84,654,590","327,323,888","54,957,971","32,622,476","292,223"
A044450,KSS해운,12,2017,Annual,"177,565,952","8,341,402","122,254,074","67,939,408","5,687,568","833,657,192","904,763,003","10,237,278","25,687,512","135,376,768","542,002,184","76,112,169","45,074,600","273,900"
A044450,KSS해운,12,2018,Annual,"202,504,829","8,832,106","145,672,622","44,681,454","7,673,669","856,654,205","904,473,325","10,014,824","20,578,591","119,458,963","533,778,757","82,553,103","46,817,383","200,810"
A044450,KSS해운,12,2019,Annual,"231,240,042","9,725,317","167,701,723","64,221,648","10,607,512","888,761,242","957,238,169","10,766,382","23,435,296","168,186,569","508,051,885","83,335,038","52,771,937","391,960"
A044450,KSS해운,12,2020,Annual,"226,181,167","6,076,204","163,993,022","72,496,164","10,608,601","990,958,886","1,069,527,678","11,456,957","13,129,121","240,088,936","560,582,741","72,022,521","50,731,188","405,412"
A044450,KSS해운,12,2021,Annual,"324,001,267","8,270,247","251,817,534","68,132,507","17,819,931","1,353,046,978","1,446,228,923","14,094,612","56,071,252","381,598,280","721,805,998","100,253,854","58,089,121","441,963"
A044450,KSS해운,12,2022,Annual,"445,375,790","18,185,902","360,523,009","82,531,564","18,737,481","1,546,388,382","1,659,172,643","15,341,690","45,470,527","378,619,660","874,272,755","112,623,503","69,511,092","479,066"
A460850,동국씨엠,12,2011,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2012,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2013,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2014,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2015,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2016,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2017,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2018,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2019,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2020,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2021,Annual,,,,,,,,,,,,,,
A460850,동국씨엠,12,2022,Annual,,,,,,,,,,,,,,
A081000,일진다이아,12,2011,Annual,"91,987,179","20,418,302","65,008,394","68,807,809","33,101,469","46,295,068","118,181,822","11,164,969","12,002,334","41,723,648","14,239,944","17,946,259","15,813,815","469,254"
A081000,일진다이아,12,2012,Annual,"96,316,456","19,671,462","70,416,786","66,076,780","32,438,944","59,989,987","134,388,811","16,160,758","7,831,959","49,410,206","16,759,100","7,757,926","9,738,912","534,177"
A081000,일진다이아,12,2013,Annual,"87,727,951","17,165,270","63,551,834","69,495,434","32,585,541","56,116,472","133,824,004","17,247,510","3,322,312","55,033,100","9,153,214","10,171,556","6,928,606","703,148"
A081000,일진다이아,12,2014,Annual,"90,891,296","16,743,072","64,585,775","75,130,092","34,632,704","55,084,921","138,971,553","18,645,827","3,823,004","56,488,921","12,243,771","12,346,331","7,659,694","692,636"
A081000,일진다이아,12,2015,Annual,"109,591,037","19,087,105","75,684,731","80,001,444","42,204,948","53,669,512","141,019,036","19,660,051","10,750,575","46,641,125","13,721,123","8,772,096","14,246,255","747,037"
A081000,일진다이아,12,2016,Annual,"108,408,482","21,862,110","79,849,609","85,421,885","37,837,274","52,642,895","146,481,852","22,167,851","4,659,207","47,703,016","13,966,800","11,776,024","6,391,022","779,956"
A081000,일진다이아,12,2017,Annual,"118,912,465","26,365,057","83,280,809","89,661,635","36,996,699","57,884,975","156,935,533","20,968,131","7,360,955","46,310,875","12,562,873","14,629,227","14,663,524","896,936"
A081000,일진다이아,12,2018,Annual,"133,959,368","26,064,237","94,848,435","96,619,576","34,759,017","48,365,526","159,895,730","23,932,604","7,683,631","43,949,773","12,691,867","14,361,528","15,178,329","681,906"
A081000,일진다이아,12,2019,Annual,"164,447,679","25,133,618","115,938,000","175,768,711","31,190,220","55,652,582","249,819,008","34,683,210","13,183,418","47,868,785","16,911,764","40,124,256","13,826,469","1,292,715"
A081000,일진다이아,12,2020,Annual,"168,656,786","16,878,822","120,562,022","147,254,366","35,612,832","70,947,147","247,688,526","38,998,929","7,255,841","36,911,665","22,239,287","9,192,589","9,095,835","1,371,629"
A081000,일진다이아,12,2021,Annual,"187,663,976","21,046,166","139,320,876","525,926,041","45,297,478","85,211,766","641,762,242","39,247,395","10,803,091","72,918,803","33,766,583","14,476,868","9,095,705","1,678,086"
A081000,일진다이아,12,2022,Annual,"186,836,814","26,263,480","145,423,577","482,564,984","40,614,484","89,683,063","599,305,652","38,141,032","-3,857,397","45,177,479","26,162,953","11,540,926","3,272,206","1,917,832"
A267850,아시아나IDT,12,2011,Annual,"324,586,706","139,252,506","245,457,026","157,743,589","34,413","17,623,531","189,169,006","62,099,904","13,959,920","121,813,290","4,063,844","15,968,752","17,029,776","3,036,279"
A267850,아시아나IDT,12,2012,Annual,"248,512,826","88,852,606","176,960,995","136,687,735",0,"16,393,400","167,926,605","61,615,763","8,404,975","93,223,500","2,837,974","25,294,364","9,936,069","2,281,639"
A267850,아시아나IDT,12,2013,Annual,"236,839,181","59,951,880","212,524,408","102,557,772",0,"16,567,431","134,450,041","14,641,031","8,331,317","51,414,480","4,124,401","102,967","9,673,742","722,959"
A267850,아시아나IDT,12,2014,Annual,"235,039,679","56,848,909","206,979,738","80,526,022",0,"16,214,512","153,122,896","13,698,998","8,765,042","51,794,876","7,659,904","15,224,421","14,360,943","571,534"
A267850,아시아나IDT,12,2015,Annual,"245,594,936","51,997,520","217,302,159","88,975,056",0,"18,530,606","161,970,305","13,579,443","11,222,795","50,398,754","8,337,786","16,883,098","14,713,334","435,272"
A267850,아시아나IDT,12,2016,Annual,"262,966,458","58,548,914","232,439,329","108,988,156",0,"3,406,104","185,909,866","13,319,429","23,898,612","58,377,616","10,067,557","13,532,818","17,207,700","465,396"
A267850,아시아나IDT,12,2017,Annual,"264,918,734","58,492,282","230,419,063","71,562,782",0,"2,956,456","198,006,607","12,572,102","19,396,577","54,342,616","6,627,046","12,319,373","21,927,569","267,137"
A267850,아시아나IDT,12,2018,Annual,"245,356,818","53,082,678","218,653,919","106,377,179",0,"1,477,573","215,213,977","10,914,179","9,617,595","50,599,555","10,058,154","17,040,161","15,788,721","285,342"
A267850,아시아나IDT,12,2019,Annual,"246,148,801","65,796,225","222,373,279","89,582,902",0,"30,123,480","228,597,213","12,409,681","-8,051,798","54,400,457","32,815,725","-244,805","11,365,841","1,358,996"
A267850,아시아나IDT,12,2020,Annual,"195,855,075","38,973,333","177,428,489","125,223,054",0,"24,725,373","204,901,871","9,662,989","-8,184,362","47,316,582","27,342,051","33,482,549","8,763,597","1,325,345"
A267850,아시아나IDT,12,2021,Annual,"174,722,678","38,623,913","158,572,868","159,869,067",0,"18,803,206","222,135,981","8,860,580","26,361,900","53,531,513","13,025,125","5,612,921","7,289,230","1,305,963"
A267850,아시아나IDT,12,2022,Annual,"181,365,957","33,711,965","161,996,253","114,136,263",0,"13,276,291","205,577,784","9,132,952","8,596,698","37,832,498","7,794,062","7,741,865","10,236,752","1,351,506"
A107590,미원홀딩스,12,2011,Annual,"202,554,886","30,272,241","168,554,822","79,359,087","38,523,306","35,516,952","118,613,059","13,636,611","15,996,293","24,657,680","3,914,622","13,124,737","20,363,454","50,067"
A107590,미원홀딩스,12,2012,Annual,"238,777,118","33,800,079","184,983,790","92,146,798","48,308,476","51,528,549","147,898,036","18,341,881","27,917,722","24,476,067","4,429,023","21,919,075","35,451,448","89,651"
A107590,미원홀딩스,12,2013,Annual,"263,342,862","35,830,523","204,253,236","114,604,048","57,722,136","63,347,847","182,542,811","20,851,627","31,022,882","26,055,717","5,140,837","29,978,460","38,237,999","99,392"
A107590,미원홀딩스,12,2014,Annual,"273,941,342","34,792,237","217,145,607","130,298,722","71,108,466","68,376,140","203,526,514","23,397,988","26,144,085","24,684,061","6,376,871","22,240,341","33,397,747","108,796"
A107590,미원홀딩스,12,2015,Annual,"270,442,315","38,097,482","207,986,948","142,169,760","68,459,618","77,685,791","224,340,447","25,554,108","30,646,260","25,317,782","6,598,448","40,393,822","36,901,259","236,745"
A107590,미원홀딩스,12,2016,Annual,"95,126,093","40,190,344","82,664,175","156,268,714","63,027,477","92,294,124","254,837,540","9,879,490","34,515,223","31,754,379","6,547,417","55,433,382","2,582,428","165,292"
A107590,미원홀딩스,12,2017,Annual,"117,568,146","12,091,689","95,296,275","49,773,292","24,509,425","32,605,799","163,827,190","13,098,464","12,731,679","32,893,497","8,566,253","-8,952,784","9,173,407","609,767"
A107590,미원홀딩스,12,2018,Annual,"141,970,840","15,392,101","122,186,709","68,376,927","37,060,066","32,720,925","222,015,479","16,171,345","9,740,482","48,854,529","41,092,493","9,020,838","3,612,786","808,640"
A107590,미원홀딩스,12,2019,Annual,"188,376,779","29,320,015","161,429,172","92,925,242","44,683,769","100,422,572","315,171,350","19,183,791","16,268,200","50,008,467","67,552,337","-1,598,963","7,763,815","919,815"
A107590,미원홀딩스,12,2020,Annual,"288,971,437","39,935,580","242,577,589","96,198,875","38,952,343","96,181,291","331,257,263","24,595,548","23,673,458","66,425,515","66,564,403","25,040,687","21,798,300","1,174,774"
A107590,미원홀딩스,12,2021,Annual,"421,385,924","56,820,065","361,479,446","135,070,272","59,388,655","77,452,126","426,808,405","30,182,055","40,232,181","109,716,813","81,333,151","20,147,480","29,724,423","1,147,982"
A107590,미원홀딩스,12,2022,Annual,"499,293,421","49,774,716","443,589,514","158,573,166","92,359,317","99,154,127","485,886,407","32,862,920","26,602,300","138,171,345","91,411,373","23,087,777","22,840,987","810,317"
A100250,진양홀딩스,12,2011,Annual,"266,247,236","43,406,756","224,707,549","107,625,958","11,555,998","227,515,959","516,628,401","24,135,755","16,333,703","62,176,648","96,628,067","30,250,593","17,403,932","2,169,448"
A100250,진양홀딩스,12,2012,Annual,"266,151,094","42,921,519","224,087,062","126,502,936","11,715,394","224,951,421","507,752,899","23,482,716","10,886,232","71,019,431","83,858,962","25,495,987","18,581,316","2,272,607"
A100250,진양홀딩스,12,2013,Annual,"266,143,987","48,071,473","219,959,523","133,610,092","12,353,270","217,768,780","528,198,182","23,877,210","24,387,711","73,820,438","87,258,763","26,068,019","22,307,254","1,604,299"
A100250,진양홀딩스,12,2014,Annual,"273,558,038","43,148,199","225,080,105","130,462,894","13,592,620","217,682,307","533,931,547","25,903,489","21,532,140","72,127,819","84,948,580","23,219,854","22,574,444","1,542,628"
A100250,진양홀딩스,12,2015,Annual,"260,895,997","40,252,100","210,702,376","127,737,004","11,258,517","217,482,282","536,626,201","26,744,264","5,469,265","84,393,355","83,970,917","16,977,825","23,449,357","1,299,201"
A100250,진양홀딩스,12,2016,Annual,"259,705,111","45,290,117","209,867,792","140,382,214","11,493,449","242,313,961","554,262,857","27,432,050","34,773,358","93,221,952","67,267,458","19,836,695","22,405,269","1,184,328"
A100250,진양홀딩스,12,2017,Annual,"265,225,266","40,261,587","223,095,605","147,279,678","10,479,670","239,880,032","552,714,840","26,440,193","17,435,960","83,744,937","68,658,335","29,705,520","15,689,468","1,129,975"
A100250,진양홀딩스,12,2018,Annual,"241,827,150","38,097,488","209,087,616","155,297,009","10,955,893","130,838,554","496,161,913","23,436,874","4,644,024","102,302,168","34,773,290","11,329,839","9,302,660","1,013,458"
A100250,진양홀딩스,12,2019,Annual,"225,284,561","33,435,869","189,380,604","129,847,567","10,106,633","142,373,336","513,948,279","23,030,449","22,883,349","93,236,208","48,021,300","21,172,017","12,873,509","1,109,476"
A100250,진양홀딩스,12,2020,Annual,"211,539,921","34,651,110","177,128,218","139,332,687","12,732,179","152,105,393","548,008,472","22,831,561","30,322,599","101,445,650","57,821,769","13,806,534","11,580,142","744,120"
A100250,진양홀딩스,12,2021,Annual,"224,791,428","33,171,093","193,466,354","165,041,513","12,063,970","159,132,367","566,089,269","24,467,104","14,973,553","114,537,540","61,511,582","13,592,364","6,857,969","664,564"
A100250,진양홀딩스,12,2022,Annual,"234,557,603","33,572,712","201,248,485","251,311,599","13,044,246","168,394,256","597,085,262","28,077,580","27,888,409","153,726,031","40,729,914","8,233,891","5,231,538","1,495,061"
A128820,대성산업,12,2011,Annual,"1,276,500,157","150,264,643","1,142,551,373","569,247,535","192,637,751","1,301,477,838","2,422,039,404","162,357,271","-58,456,438","1,007,541,830","708,469,504","-67,323,465","-28,408,486","13,086,698"
A128820,대성산업,12,2012,Annual,"1,320,422,822","90,596,432","1,130,060,202","1,060,253,312","187,726,155","1,247,441,757","2,668,119,503","200,921,696","-121,811,289","1,094,286,584","947,933,975","-484,808,384","-10,559,076","24,910,560"
A128820,대성산업,12,2013,Annual,"1,177,937,074","87,849,195","1,040,364,228","410,802,499","53,194,732","941,527,091","2,268,734,317","341,564,722","-307,238,606","730,224,325","1,095,560,425","-113,789,609","-203,991,876","12,705,767"
