Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),영업이익(천원),이자비용(천원),현금및현금성자산구성비율(%),유동자산(천원),유동부채(천원),당좌자산(천원)
A058470,리노공업,12,2011,Annual,22.81,0.76,8.95,6.99,7.52,"23,432,594",0,18.98,"75,806,902","7,495,807","72,996,535"
A058470,리노공업,12,2012,Annual,26.55,0.74,8.87,6.70,7.19,"27,739,233",0,16.83,"78,743,137","8,043,621","75,886,823"
A058470,리노공업,12,2013,Annual,31.12,0.68,9.88,5.71,6.05,"28,829,491",0,13.98,"90,245,206","8,122,576","86,263,888"
A058470,리노공업,12,2014,Annual,33.81,0.89,10.24,6.19,6.60,"32,718,314",0,13.06,"99,647,540","9,478,752","95,106,776"
A058470,리노공업,12,2015,Annual,33.85,0.82,9.63,5.41,5.72,"36,009,931",0,11.62,"105,138,052","9,357,419","100,537,478"
A058470,리노공업,12,2016,Annual,31.67,0.72,8.61,7.29,7.86,"39,316,220",0,23.14,"137,686,438","13,906,794","132,121,432"
A058470,리노공업,12,2017,Annual,27.83,0.71,7.40,7.52,8.13,"49,156,999",0,24.36,"168,321,688","17,849,227","160,366,697"
A058470,리노공업,12,2018,Annual,27.32,0.58,6.95,7.00,7.52,"57,544,369",0,15.64,"197,338,475","18,770,941","187,903,491"
A058470,리노공업,12,2019,Annual,25.99,0.53,5.88,7.84,8.51,"64,141,630","7,924",9.78,"225,546,548","23,006,488","214,423,383"
A058470,리노공업,12,2020,Annual,26.63,0.59,5.41,6.69,7.17,"77,881,754","6,397",27.50,"257,710,374","21,920,276","245,361,522"
A058470,리노공업,12,2021,Annual,26.67,0.43,5.04,10.44,11.65,"117,104,353","6,588",16.56,"335,723,022","45,990,326","324,126,118"
A058470,리노공업,12,2022,Annual,24.17,0.34,5.58,7.21,7.77,"136,634,730","7,218",5.71,"377,024,806","36,383,168","363,913,730"
A403870,HPSP,12,2011,Annual,,,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,,,
A403870,HPSP,12,2017,Annual,3.29,2.35,17.02,21.01,26.59,"13,658,565",0,74.37,"25,654,956","5,723,406","23,647,856"
A403870,HPSP,12,2018,Annual,5.77,3.71,150.09,8.48,9.27,"-2,931,230",0,39.90,"11,438,509","1,112,298","6,660,962"
A403870,HPSP,12,2019,Annual,2.51,1.30,19.17,22.69,29.35,"9,943,657",0,50.72,"24,657,010","5,957,470","19,032,249"
A403870,HPSP,12,2020,Annual,2.14,0.65,26.50,34.75,53.27,"24,792,911","191,621",69.14,"48,871,350","17,057,654","40,397,950"
A403870,HPSP,12,2021,Annual,1.13,0.29,17.89,42.43,73.69,"45,212,381","172,822",59.19,"86,883,750","36,314,834","69,340,798"
A403870,HPSP,12,2022,Annual,3.88,0.10,15.64,25.12,33.55,"85,174,462","175,385",49.83,"245,046,978","63,423,915","211,153,941"
A277810,레인보우로보틱스,12,2011,Annual,,,,,,,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,,,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,,,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,,,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,,,,,,,
A277810,레인보우로보틱스,12,2016,Annual,4.60,0.46,47.70,18.58,22.82,"640,525","19,492",53.51,"3,944,101","756,080","3,653,804"
A277810,레인보우로보틱스,12,2017,Annual,15.93,0.14,45.45,5.29,5.59,"883,647","3,317",49.97,"11,324,028","570,142","10,952,263"
A277810,레인보우로보틱스,12,2018,Annual,27.74,0.60,377.60,6.13,6.53,"-3,343,673","2,598",52.33,"7,450,429","484,772","6,979,773"
A277810,레인보우로보틱스,12,2019,Annual,40.95,0.70,373.13,12.81,14.69,"-5,402,275","1,437",22.52,"4,116,126","570,584","2,718,603"
A277810,레인보우로보틱스,12,2020,Annual,33.52,0.68,76.75,42.17,72.91,"-1,348,800","9,223",30.82,"6,152,093","3,674,538","4,556,484"
A277810,레인보우로보틱스,12,2021,Annual,6.24,0.31,61.95,25.01,33.35,"-1,030,714","224,458",78.55,"58,149,934","1,482,053","55,239,186"
A277810,레인보우로보틱스,12,2022,Annual,5.69,0.32,42.72,19.24,23.82,"1,300,876","1,315,032",62.57,"62,092,470","3,185,026","56,981,999"
A039030,이오테크닉스,12,2011,Annual,34.36,3.68,19.31,30.74,44.38,"15,632,948","1,021,090",4.30,"144,972,137","78,283,435","102,729,685"
A039030,이오테크닉스,12,2012,Annual,45.21,3.16,17.39,34.82,53.42,"34,321,182","1,461,039",5.24,"145,976,110","107,518,791","88,855,035"
A039030,이오테크닉스,12,2013,Annual,44.84,2.88,13.55,32.56,48.27,"43,099,270","2,263,863",3.63,"168,277,533","111,995,100","94,601,356"
A039030,이오테크닉스,12,2014,Annual,39.57,1.81,13.00,26.21,35.53,"56,664,489","1,675,953",11.88,"207,283,367","96,037,001","123,550,412"
A039030,이오테크닉스,12,2015,Annual,37.25,1.94,13.82,18.19,22.24,"28,545,439","932,230",10.31,"209,043,295","65,177,458","115,348,054"
A039030,이오테크닉스,12,2016,Annual,31.83,1.52,11.25,21.15,26.83,"21,258,735","550,954",10.91,"250,908,399","85,712,699","157,952,505"
A039030,이오테크닉스,12,2017,Annual,33.57,1.51,8.33,17.58,21.32,"59,979,121","488,769",9.83,"256,055,517","76,335,422","166,793,727"
A039030,이오테크닉스,12,2018,Annual,35.46,1.71,14.40,11.60,13.12,"17,858,925","561,784",11.94,"241,001,160","46,425,595","148,744,177"
A039030,이오테크닉스,12,2019,Annual,32.13,1.34,18.90,11.78,13.36,"7,100,165","465,071",15.51,"246,642,872","52,326,110","136,540,521"
